"ID","Culture","Ruler","Start Gold","Gold Income","Start Supply","Supply Income","Showcase Leader","Showcase Troop","Faction Relation","Colour"
,"barren","leader_vok",,,,,,,,"ba4242"
"masendor","castle","leader_king",10000,1000,10000,100,"leader_tulia,leader_hermanos,castle_human_leader_lord,castle_human_leader_mage","castle_human_militia_bow,castle_dog_flail,castle_human_knight_cav,castle_cat_air_rocket_bomb","death:(death_castle;-10)","004f71"
,"death","leader_avalkari",,,,,"leader_kadeloner,leader_forgotten",,"castle:(death_castle;-10)","1a1111"
,"demon","leader_tolhhunn",,,,,,,,640000
,"desert","leader_saltun",,,,,,,,"e78300"
"dollkingdom","doll","leader_doll_king",500,2000,1000,100,"leader_doll_prince,leader_doll_princess,doll_leader_jester,doll_leader_puppetmaster","doll_candle_spear,doll_maid_knight,doll_thrower,doll_air_balloon",,532587
,"great","leader_bavala",,,,,,,,"79af1f"
,"highland","leader_garun",,,,,,,,834218
,"holy","leader_aunnial",,,,,,,,"ffeb53"
,"magic",,,,,,,,,"cf78fe"
,"marsh","leader_janiggys",,,,,,,,"5e7f85"
,"mountain","leader_asgane",,,,,,,"small:(mountain_small;5)",572233
,"port","leader_ehi",,,,,,,,"a3679f"
,"sea",,,,,,,,,"52396c"
"weealliance","small","leader_bigta",1000,50,10000,50,"leader_buikuuh,leader_yuawies,small_rabbit_leader_knight,small_rabbit_leader_banner","small_rabbit_spear,small_rabbit_trebuchet,small_snail_sword,small_eagle_air_stone","mountain:(small_mountain;5)","b0ac48"
,"wood","leader_pakakvadi",,,,,,,,307627
"free",,,,,,,,,,646464
