"Route","Type","Travel Time Modifier","Dots"
"bottom_island,marsh_majala3","Sea",25,
"bottom_island,mountain1","Sea",25,
"bottom_island,mountain5","Sea",25,
"bottom_island,marsh_island2","Sea",25,
"castle_donimalin1,castle_donimalin2","Land",2,
"castle_donimalin1,castle_samsiamanu2","Land",4,
"castle_donimalin1,highland1","Hill",4,
"castle_donimalin1,central_mountain1","Mountain",10,
"castle_donimalin2,central_mountain1","Mountain",,
,,,
,,,
"castle_masendor1,castle_masendor2","Land",2,
"castle_masendor1,castle_masendor3","Land",2,
"castle_masendor1,castle_masendor5","Land",1,
"castle_masendor1,central_plain1","Land",4,
"castle_masendor1,near_rabbit_forest2","Land",3,
"castle_masendor2,central_plain3","Land",4,
"castle_masendor2,castle_safienty1","Land",2,
"castle_masendor2,castle_masendor5","Land",1,
"castle_masendor3,near_rabbit_forest2","Land",3,
"castle_masendor3,castle_samsiamanu1","Land",3,
"castle_masendor3,castle_masendor5","Land",1,
"castle_masendor4,castle_safienty1","Land",3,
"castle_masendor4,castle_samsiamanu1","Land",3,
"castle_masendor4,castle_safienty2","Land",3,
"castle_masendor4,castle_rendon_suclin ","Land",2,
"castle_masendor4,castle_masendor5","Land",1,
,,,
"castle_rendon_suclin ",,,
"castle_safienty1",,,
"castle_safienty2",,,
"castle_samsiamanu1",,,
"castle_samsiamanu2",,,
"port_lhu,port_lil","Land",2,
"port_lil,port_whe","Land",2,
,,,
"port_whe,east_top_island4","Sea",7,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"rabbit_forest1,rabbit_forest2","Forest",5,
"rabbit_forest1,rabbit_forest4","Forest",5,
"rabbit_forest1,near_rabbit_forest1","Forest",4,
"rabbit_forest1,near_rabbit_forest2","Forest",4,
"rabbit_forest2,rabbit_forest3","Forest",6,
"rabbit_forest2,rabbit_forest4","Forest",5,
"rabbit_forest3,rabbit_forest4","Forest",6,
