"ID","Faction","Region","Army"
1,"small","rabbit_forest3","(leader_bigta;small_rabbit_leader_banner),(small_rabbit_spear;small_rabbit_spear;small_rabbit_sling)"
2,"castle","castle_masendor1","(leader_tulia;castle_human_leader_ranger),(castle_human_militia_spear;castle_human_militia_bow)"
3,"castle","castle_masendor2","(leader_hermanos;castle_human_leader_banner),(castle_dog_flail;castle_human_militia_spear)"
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,"doll",,"(leader_doll_prince),(doll_candle_spear;doll_candle_spear;doll_knight_cav)"
18,,,
19,,,
20,"free","rabbit_forest4","leader_adaqua:(castle_human_militia_spear;castle_human_militia_spear;castle_human_militia_bow)"
21,"free","rabbit_forest1","small_rabbit_leader_banner:(small_rabbit_spear;small_rabbit_spear;small_rabbit_sling),small_rabbit_leader_banner:(small_rabbit_spear;small_rabbit_sling)"
22,,,
