"ID","Colour","Control","Capital","Settlement POS","Build Slot","Object"
"bottom_island","472323","free",,"1688,1916","unique_dragon_lair",
"castle_donimalin1","825474","free",,"2218,840","castle_settlement_1_motte,castle_food_a1_farm,castle_food_a1_farm,free_build,free_build,free_big_river",
"castle_donimalin2","5ce8c5","free",,"2053,1100","castle_settlement_2_keep,castle_food_c1_ranch,castle_barrack_a1_barrack,free_build,free_build,free_iron",
"castle_masendor1","29352d","masendor",,"1630,780","castle_settlement_1_motte,castle_food_a1_farm,castle_food_b1_granary,free_build",
"castle_masendor2","797a68","masendor",,"1580,930","castle_settlement_2_keep,castle_money_a1_market,castle_food_c1_ranch,free_build",
"castle_masendor3","474e19","free",,"1760,820","castle_settlement_1_motte,castle_food_a1_farm,free_build,free_build",
"castle_masendor4","25393a","free",,"1740,980","castle_settlement_2_keep,castle_money_c1_slum,castle_money_c1_slum,free_build",
"castle_masendor5","a39ff8","masendor","TRUE","1674,900","castle_settlement_3_castle,unique_black_palace,castle_barrack_a1_barrack,castle_money_a1_market,free_build,free_build,free_build",
"castle_rendon_suclin ","ffaa00","free",,"1861,1015","castle_castle_fortress,unique_central_empire_palace,castle_barrack_a1_barrack,castle_faith_1_temple,castle_barrack_b1_war_stable,castle_fun_c1_court,castle_money_a2_great_market,free_build,free_build,free_build",
"castle_safienty1","5783c5","free",,"1610,1095","castle_settlement_2_keep,castle_barrack_a1_barrack,castle_money_c1_slum,castle_fun_a1_tavern,free_big_river",
"castle_safienty2","52cb84","free",,"1795,1140","castle_settlement_1_motte,castle_food_a1_farm,castle_arty_1_siege_factory,free_build,free_build",
"castle_samsiamanu1","a8fef1","free",,"1982,805","castle_settlement_1_motte,castle_food_a1_farm,free_build,free_build",
"castle_samsiamanu2","de3bab","free",,"2090,935","castle_settlement_2_keep,unique_hall_of_blade,castle_money_a1_market,free_build,free_build",
"central_mountain1","4a5545","free",,,"free_settlement,unique_statue_army",
"central_mountain2","e2b6b6","free",,,"free_settlement,unique_misery_volcano",
"central_plain1","9ac862","free",,,"free_settlement,free_build,free_build,free_build,free_build,free_build",
"central_plain2","5c7c34","free",,,"free_settlement,free_build,free_build,free_build,free_build,free_build",
"central_plain3","affe4e","free",,,"free_settlement,free_build,free_build,free_build,free_build,free_build",
"central_tundra1","5b7b8b","free",,,"free_settlement,free_build,unique_great_depth",
"central_tundra2","abadae","free",,,"free_settlement,unique_great_ruin",
"central_tundra3","616f76","free",,,"free_settlement,free_build,free_build",
"central_tundra4","9f8154","free",,,"free_settlement,unique_ancient_great_sword,free_build,free_build,free_build",
"central_tundra5","475c2d","free",,,"free_settlement,free_build,free_build",
"death1","751692","free","TRUE","330,280","death_settlement_3_still_city,death_barrack_a2_tomb,death_food_a1_scavenger,death_money_a1_old_treasury,death_barrack_b1_haunted_mansion,free_build,free_build",
"death2","ab6ebd","free",,"548,380","death_settlement_2_dark_hamlet,death_barrack_c1_barrow_mound,free_build,free_build,free_build",
"death3","593963","free",,"424,598","death_settlement_1_ruin,unique_dark_tower,death_barrack_a1_graveyard,free_build",
