"Buttons","Move","Name","Position","Stat Requirement","Requirement Move","Prepare Animation","After Animation","AI Range","AI Delay","AI Condition","Range","Cooldown","Resource Cost","Power","Push Impact","Pull Impact","Up Impact","Down Impact","Critical Chance Bonus","Element","Status","Enemy Status","Special Effect","Property"
"Weak","cweak1","Low Punch","Couch",,,,,150,,,,,,25,20,,,50,,"Physical",,,,
"Weak","cweak2","Low Pierce","Couch",,"cweak1",,,250,,,,,,34,15,,,80,,"Physical",,31,,
"Weak","cweak3","Slash Down","Couch",,"cweak2",,,250,,,,,,50,,,,125,,"Physical",,,,
"Strong","cstrong1","Ground Low Kick","Couch",,,,,150,,,,,,34,5,,,150,,"Physical",,,,
"Strong","cstrong2","Spin Kick","Couch",,"cstrong1",,,200,,,,,,61,25,,120,,,"Physical",,,,
"Strong","cstrong3","Rotate Slash","Couch",,"cstrong2",,,250,,,,,,82,70,,175,,,"Physical",,,,
"Weak","sweak1","Right Punch","Stand",,,,,150,,,,,,27,15,,,60,,"Physical",,,,
"Weak","sweak2","Close Slash","Stand",,"sweak1",,,250,,,,,,32,30,,,100,,"Physical",,,,
"Weak","sweak3","Upper Kick","Stand",,"sweak2",,,300,,,,,,41,100,,175,,,"Physical",,,,
"Strong","sweak1strong","Upper Slash","Stand",,"sweak1",,,300,,,,,,72,,,450,,,"Physical",,,,
"Strong","sweak2strong","Quick Jab","Stand",,"sweak2",,,300,,,,,,64,125,,,250,0.05,"Physical",,31,,
"Strong","sweak3strong","Quick Slash","Stand",,"sweak3",,,300,,,,,,91,150,,,400,,"Physical",,,,
"Strong","sstrong1","Slash Up","Stand",,,,,300,,,,,,41,20,,60,,,"Physical",,,,
"Strong","sstrong2","Pierce","Stand",,"sstrong1",,,300,,,,,,52,75,,,50,,"Physical",,,,
"Strong","sstrong3","Quick Slice Up","Stand",,"sstrong2",,,300,,,,,,67,25,,90,,,"Physical",,,,
"Strong","sstrong4","Slash Down","Stand","Strength:33","sstrong3",,,300,,,,,,90,150,,,400,,"Physical",,,,
"Special","sstrong1special","Demonic Advance","Stand","Dexterity:45","sstrong1",,,300,,,,,6,60,200,,,300,,"Physical",,,,"movable,x_momentum:500"
"Special","sstrong2special","Demonic Twin Slash","Stand","Dexterity:55","sstrong2",,,350,,,,,9,83,250,,,600,,"Physical",,,,
"Special","sstrong3special","Demonic Twin Sweep","Stand","Dexterity:60","sstrong3",,,350,,,,,10,95,700,,100,,,"Physical",,,,
"Special","sstrong4special","Demonic Trickery","Stand","Dexterity:70","sstrong4",,,350,,,,,13,112,350,,,,0.25,"Physical",,,,
"Weak","aweak1","Air Kick Down","Air",,,,,150,,,,,,31,45,,,50,,"Physical",,,,
"Weak","aweak2","Air Spin Kick","Air",,"aweak1",,,200,,,,,,48,125,,,30,,"Physical",,,,
"Weak","aweak3","Air Pierce","Air",,"aweak2",,,250,,,,,,67,100,,,100,,"Physical",,31,,
"Strong","aweak1strong","Air Step","Air","Dexterity:36","aweak1",,,150,,,,,,32,,,50,,,"Physical",,,,"movable,y_momentum:300,remove momentum when done"
"Strong","aweak2strong","Air Slash","Air","Dexterity:53","aweak2",,,250,,,,,,94,50,,,,,"Physical",,31,,
"Strong","aweak3strong","Air Sword Lift","Air","Dexterity:87","aweak3",,,250,,,,,,110,,,115,,,"Physical",,,,
"Down,Strong","adstrong","Air Pierce Down","Air",,,"name:adstrongprepare,fly:True",,100,,,,,,140,,,,350,,"Physical",,,,"movable,y_momentum:-10000,x_momentum:0,drop speed:2,repeat"
"Strong","astrong1","Left Air Punch","Air",,,,,150,,,,,,81,75,,,60,,"Physical",,,,
"Strong","astrong2","Two-handed Slash Out","Air",,"astrong1",,,300,,,,,,100,120,,,60,,"Physical",,,,
"Strong","astrong3","Full Arc Slash","Air",,"astrong2",,,300,,,,,,114,,,,300,0.05,"Physical",,,,
"Special","astrong1special","Demonic Beat Down","Air","Strength:53","astrong1",,,150,,,,,3,43,46,,,,,"Physical",,,,"multiple hits"
"Special","astrong2special","Demonic Pull","Air","Strength:66","astrong2",,,230,,,,,8,211,,182,,,,"Physical",,32,,"penetrate"
"Special","astrong3special","Demonic Meteor","Air","Strength:83","astrong3","name:astrong3specialprepare,fly:True",,300,,,,,10,300,,,,1000,0.15,"Physical",,,,"movable,y_momentum:-10000,x_momentum:0,drop speed:2,repeat"
"Special","cspecial","Demonic Crush","Couch",,,,,350,,,,,4,180,,,,600,0.05,"Physical",,,,
"Special","sspecial1","Demonic Slash In","Stand",,,,,350,,,,,2,92,175,,,200,0.1,"Physical",,,,
"Special","sspecial2","Demonic Slash Out","Stand",,"sspecial1",,,350,,,,,3,135,200,,,175,0.2,"Physical",,,,
"Special","sspecial3","Demonic Great Slash","Stand",,"sspecial2",,,350,,,,,6,166,400,,,300,0.1,"Physical",,32,,
"Special","sspecial4","Demonic Gorging","Stand","Strength:50","sspecial3",,,350,,,,,2,122,250,,,,0.1,"Physical",,,,
"Special","sspecial5","Demonic Rising Star","Stand","Strength:62","sspecial4",,,350,,,,,7,215,,,500,,0.1,"Physical",,,,
"Special","sspecial6","Demonic Cross In","Stand","Strength:75","sspecial5",,,350,,,,,9,237,300,,300,,0.1,"Physical",,,,
"Special","aspecial","Demonic Lift","Air",,,,,350,,,,,4,250,,,600,,0.1,"Physical",,,,
"Special","aspecial2","Demonic Fall","Air","Strength:57","aspecial",,,350,,,,,8,320,,,,800,0.2,"Physical",,,,
"Forward,Strong","fsstrong","Slash Dash","Stand",,,,,450,,,,,,45,50,,,,,"Physical",,,,"all child moveset,x_momentum:400,movable,forced move,remove momentum when done"
"Backward,Strong","bsstrong","Retreating Slash","Stand",,,,,200,,,,,,45,50,,,,,"Physical",,,,"all child moveset,x_momentum:-400,movable,forced move,remove momentum when done"
