"ID","Name","Text"
"dollkingdom_story_1","Magical Circus of Hus","The Magical Circus of Hus arrived at your realm. They do not look to be living beings with those kinds of faces, so you allow them to settle down."
"dollkingdom_story_2","Princess's Request","The Princess Doll, your daughter, came pleading to allow her to join in the war. You could not let your precious daughter come to harm; there must be a way to please her somehow."
"weealliance_story_1","Chaotic Time","A time of change, a time of love. There was peace but chaos always come."
"weealliance_story_2","Priority of Love and War","It had been some times since the two of you met. Love bloomed but wars were more important."
"weealliance_story_3","Rift in Love","Love life was never easy in these times. Rifts were as common as deaths."
"weealliance_story_4","Love Victorious","Reconciliation, no amount of rift could deny fate."
"weealliance_story_5","Life Purpose","Joyous news, offspring to be expected. The fruits of love."
"weealliance_story_6","New Beginning","Came twin heirs of the realm, Bersa and Sintor."
"weealliance_story_7",,
"weealliance_story_8",,
"weealliance_story_9",,
"weealliance_story_10",,
"leader_join_monnirl","Monnirl Joined!","Your dedication to the faith impressed the Practical Monnirl. She resolved to join your crusade to embolden the true religion."
"leader_join_champion","Champion Joined!","Pitied at the sorry state of your realm, the Royal Champion joined your side."
"leader_join_aquanturas","Aquanturas Joined!",
"leader_join_vurus","Vurus Joined!","Vurus, the great strategist, believed your rule is certainly with great merit. He wanted to ensure that the world belongs to the rightful ruler."
"leader_join_quivenly","Quivenly Joined!",
"leader_join_nayedien","Nayedien Joined!",
"leader_join_savalorse","Savalorse Joined!",
"leader_join_iri","Iri Joined!",
"leader_join_adaqua","Adaqua Joined!","Defeating the Red Leaf gang left Adaqua without purpose. She instead offered her service to you."
"leader_join_buikuuh","BuiKuuh Joined!",
"leader_join_yuawies","Yuawies Joined!","Lured by the foods and festivities, Yuawies the Dryad appeared for the feast and became attracted to your culture."
"leader_join_kak","Kak Joined!","The majestic Kak the Hornmonkey arrived at your domain. Rabbitmen became enamoured with his horn playing and invited him to join and play at the enemies."
"leader_join_nalana","Nalana Joined!","The flower gardens in your realm were pretty nice. Said Nalana, who appeared out of nowhere and decided to become their protector."
"leader_join_olsilin","Olsilin Joined!","You managed to attract the most troublesome pixie. She liked your water springs and refused to leave."
"leader_join_vasla","Vasla Joined!","Some rabbitmen became friends with Vasla. He decided to come out of seclusion and joined your cause."
"leader_join_nadvalin","Nadvalin Joined!","A very mysterious girl carrying a tree approached a warren and proclaimed, ""You are all my friends now!"". What happened next surprises no one."
"leader_join_dollking","King Doll Joined!","The prince has proven himself capable. With your realm stabilised and automated, you can now directly participate in the wars you will commit."
"leader_join_dollprincess","Princess Doll Joined!",
"leader_join_dollqueen","Queen Doll Joined!",
"leader_join_dollwagon","Toy Wagon Joined!","The Joyride band returned from their world-round journey. To repay the travelling funds you provided, they joined your war."
"leader_join_hus","Hus Joined!","The cheering sound resonated through the theatre hall: HUS! HUS! HUS! And the new age of entertainment arrived."
"leader_join_verlindas","Verlindas Joined!","The Magical Circus of Hus became one of the cornerstones of your realm. The dolls love the Circus. And so to keep them entertained, Verlindas entered the fray."
"leader_join_taladamun","Taladamun Joined!","Civilisations cannot exist without entertainment. Taladamun promised to bring joy to all with the ultimate magical act."
"leader_join_tensimpho","Tensimpho Joined!",
"leader_join_noxbox201","Noxbox 201 Joined!","The service bot, Noxbox 201, discovered the legendary magical wand in an abandoned storage. You decided to put its newfound power to better use."
"leader_join_peltino","Peltino Joined!",
"leader_join_amgarn","Amgarn Joined!","Amgarn the Black Cat arrived at your realm. His great swordsmanship attracted your interest, and you decided to hire him."
"leader_join_amunsa","Amunsa Joined!","Amunsa the Blacksmith arrived at your realm. His thirst for revenge drove him to battle, and you thought he could be of use."
"leader_join_dashisi","Dashisi Joined!","Dashisi the Fairy arrived at your realm. He told you he can make a lot of heads you do not like roll, so you hired him."
"leader_join_diezralvir","Diezralvir Joined!",
"leader_join_elmaliern","Elmaliern Joined!","Elmaliern the Widow arrived at your realm. She did not look capable of battle, but something about her was interesting enough that you let her stay."
"leader_join_entaguz","Entaguz Joined!",
"leader_join_eona","Eona Joined!","Eona the Blind Songstress arrived at your realm. She wished to stop all wars with her song. But since she could not see, you came up with an idea."
"leader_join_filia","Filia Joined!",
"leader_join_kapuni","Kapuni Joined!",
"leader_join_kutip'aeh","Kutip'aeh Joined!",
"leader_join_mratarvir","Mratarvir Joined!",
"leader_join_nraesier","Nraesier Joined!","Nraesier the Scout arrived at your realm. Her dubious over-promise caused you to hesitate in hiring her. She just stayed around anyway."
"leader_join_oanogoht","Oanogoht Joined!",
"leader_join_parna","Parna Joined!",
"leader_join_remance","Remance Joined!",
"leader_join_sonagsha","Sonagsha Joined!",
"leader_join_unsi_ed","Unsi Ed Joined!",
"leader_join_vraesier","Vraesier Joined!","Vraesier the Vagrant Warrior arrived at your realm. Her mighty power would be of great use, so you hired her on the spot."
,,
"leader_upgrade_1_monnirl",,
"leader_upgrade_1_adaqua",,
