"ID","Name","Description"
"none","Empty",
"random","Random Faction",
"all","All Factions",
"barren",,
"masendor","Kingdom of Masendor","Play as the reclaiming Realm of Masendor of the Central Kingdoms. The previous chaos brought much destruction to the realm. Still fractured in half, you will need to take care of the rebels to unite the kingdom. With feudalism as the cultural backbone, the kingdom can set up to be efficient in both offence and defence. Conquer the Central Realms and beyond to become the cornerstone of the civilised world or perish against the barbarian hordes."
"death",,"Play as the reawakening Land of the Death."
"demontide",,
"desert",,
"dollkingdom","Doll Kingdom","Play as the infuriating Doll Kingdom. Forsaken and betrayed, the automata dolls rise up to exact revenge upon all the living. With the efficient industry design backing up the ceaseless production, world domination can be accomplished even for these once peaceful dolls. Will they become merciful masters for the inferior flesh beings or lead the world to destruction?"
"highland",,"Play as the expanding"
"marsh",,"Play as the fractured Majala Empire."
"mountain",,"Play as the unifying"
"port",,
"weealliance","Wee Alliance","Play as the emerging Wee Alliance of the Pamat Forest, formed of rabbitmen, snails, and eagles. These critters of the once peaceful forest know little of true warfare and technology, but they will do their best to eradicate any unrightful invader. They will have to pick a choice. To maintain the simple happiness of life or steer toward the efficiency of civilisation to conquer the world for themselves."
"wood",,
,,
,,
"great",,
"holy",,
"sea",,
"magic",,
"free","Rebels",
