"ID","Name",,"Description"
"Bottom_island","Tuvine Volke","472323",
"Castle_donimalin1","Omin","825474",
"Castle_donimalin2","Alunia","5ce8c5",
"Castle_masendor1","Nalinis","29352d",
"Castle_masendor2","Epslanis","797a68",
"Castle_masendor3","Ellanis","474e19",
"Castle_masendor4","Lakinis","25393a",
"Castle_masendor5","Larsennis","a39ff8",
"Castle_rendon_suclin ","Rendon Suclin","ffaa00",
"Castle_safienty1","Empakin","5783c5",
"Castle_safienty2","Emperte","52cb84",
"Castle_samsiamanu1","Sonsia","a8fef1",
"Castle_samsiamanu2","Sinsia","de3bab",
"Central_mountain1","Mennon","4a5545",
"Central_mountain2","e2b6b6","e2b6b6",
"Central_plain1","Baltuk","9ac862",
"Central_plain2","Benkoic","5c7c34",
"Central_plain3","Bactlason","affe4e",
"Central_tundra1","5b7b8b","5b7b8b",
"Central_tundra2","Abadae","abadae",
"Central_tundra3","616f76","616f76",
"Central_tundra4","9f8154","9f8154",
"Central_tundra5","475c2d","475c2d",
"Death1","751692","751692",
"Death2","ab6ebd","ab6ebd",
"Death3","593963","593963",
"Death4","3e2545","3e2545",
"Desert_island1","b4c383","b4c383",
"Desert_island2","9abf21","9abf21",
"Desert_lizard","29843c","29843c",
"Desert_sand1","5a5413","5a5413",
"Desert_sand2","89855b","89855b",
"Desert_sand3","adaa82","adaa82",
"Desert_sand4","8f8d73","8f8d73",
"Desert_doomud_troll","Doomud","8db195",
"East_bottom_island1","428681","428681",
"East_bottom_island2","05f3e0","05f3e0",
"East_hoom_troll","Hoom","979978",
"East_plain1","9dac80","9dac80",
"East_plain2","719e75","719e75",
"East_plain3","bdde7f","bdde7f",
"East_plain4","93dc07","93dc07",
"East_plain5","9fc556","9fc556",
"East_plain6","c4f567","c4f567",
"East_plain7","c8d5ae","c8d5ae",
"East_plain8","128d1d","128d1d",
"East_top_island1","837300","837300",
"East_top_island2","d8be00","d8be00",
"East_top_island3","a88f28","a88f28",
"East_top_island4","d2c359","d2c359",
"East_tundra1","Vup",748376,
"East_tundra2","Dukun","cad7cb",
"East_tundra3","Hep","8edbcc",
"East_tundra4","Yap","5f6b60",
"East_tundra5","Sak","4d563d",
"Great_sontriel1","8753b8","8753b8",
"Great_sontriel2","bf22e1","bf22e1",
"Great_sontriel3","Malrita","4e0099",
"Great_sontriel4","Mlersia","7000dc",
"Great_sontriel5","9f5ae0","9f5ae0",
"Great_sontriel6","845ea8","845ea8",
"Great_sontriel7","520ba0","520ba0",
"Great_sontriel8","594c67","594c67",
"Highland_hlilitan1","Hlilitan Henen","d1c1a2",
"Highland_hlilitan2","Hlilitan Lopen","523a0d",
"Highland1","c7a157","c7a157",
"Highland2","72644a","72644a",
"Highland3","Amuud Tuliec","efd39d",
"Highland4","f1b545","f1b545",
"Holy1","964a6c","964a6c",
"Holy2","Kellitel","830b41",
"Holy3","Valle","ea74a9",
"Holy4","412330","412330",
"Holy5","ff4c9d","ff4c9d",
"Holy6","4a2e3b","4a2e3b",
"Marsh_island1","c5e899","c5e899",
"Marsh_island2","47675f","47675f",
"Marsh_jungle1","Ludtiment Topalonc","825109",
"Marsh_jungle2","Huaquxati Topalonc","136b55",
"Marsh_majala1","Majala Suqzxotiac","ccb189",
"Marsh_majala2","Majala Quutec","a0ca4e",
"Marsh_majala3","Majala Nehualutan","e3a447",
"Marsh_majala4","Majala","588400",
"Mountain_debachan_darkelf","Debachan","503333",
"Mountain1","Lehutloanten Kelitirit","901919",
"Mountain2","7a0000","7a0000",
"Mountain3","8e5e00","8e5e00",
"Mountain4","786a4f","786a4f",
"Mountain5","b47171","b47171",
"Mountain6","5b1818","5b1818",
"Mountain7","Kakadull","d60000",
"Mountain8","Sukutar","da9003",
"Near_rabbit_forest1","Issulun Celses","ffeb00",
"Near_rabbit_forest2","Selendir Calustos","ff4100",
"Near_rabbit_forest3","Pomeliat Niartolun","0078ff",
"Oimita1","Garbarra","d9c722",
"Oimita2","Ladaji","928600",
"Oimita3","Oimata","d7cf75",
"Oimita4","Pashawsi","615e43",
"Port_lhu","Lhu","3d726e",
"Port_Lil","Lil","00ab9d",
"Port_whe","Whe","5f7535",
"Rabbit_forest1","Pamat Prestela","1ebf00",
"Rabbit_forest2","Pamat Celses","9fdc94",
"Rabbit_forest3","Pamat Shalaedon","9ae3b7",
"Rabbit_forest4","Pamat Portiues","be4444",
"Sisran_milkas_Doll1","Matroicika Wehddol","e112e9",
"Sisran_milkas_Doll2","Merikonet Dallis","8c448f",
"Sisran_milkas_Doll3","Biesuek Poserein","dca9de",
"Sisran_milkas_Doll4","Roemaalnadic Cellalois","603862",
"Sisran_milkas_Doll5","Shinar Glossara","86008b",
"Top_island","e39300","e39300",
"Unicorn","8b00b1","8b00b1",
"Wood1","87aeda","87aeda",
"Wood2","0c4382","0c4382",
"Wood3","c0dcfc","c0dcfc",
"Wood4","7f8d9d","7f8d9d",
"Wood5","a4c8f0","a4c8f0",
"Wood6","003066","003066",
