"ID","Text ID","Object","Animation","Type","Property"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Vraesier/Nayedien/1_1_city_tavern_talk1","Vraesier/Nayedien/1_1_city_tavern_talk1.1",,"Talk","talk",
,"Vraesier/Nayedien/1_1_city_tavern_talk1.2",,"Talk",,
,"Vraesier/Nayedien/1_1_city_tavern_talk1.3",,"Idle",,
,"Vraesier/Nayedien/1_1_city_tavern_talk1.4",,"Idle",,
,"Vraesier/Nayedien/1_1_city_tavern_talk1.5",,"Idle",,
,"Vraesier/Nayedien/1_1_city_tavern_talk1.6",,"Idle",,
,"Vraesier/Nayedien/1_1_city_tavern_talk1.7",,"Fig",,
"Vraesier/Nayedien/1_1_city_tavern_talk2","Vraesier/Nayedien/1_1_city_tavern_talk2.1",,"Idle",,
