"Object ID","ID","Scene","POS","Ground Y POS","Angle","Start Health","Team","Arrive Condition","Stage Property"
"p1",,1,"1000,1000",1000,90,1,1,,
"p2",,1,"1100,1000",1000,90,1,1,,
"p3",,1,"1200,1000",1000,90,1,1,,
"p4",,1,"1300,1000",1000,90,1,1,,
1,"Tanrsakt",1,"260,1000",1000,-90,1,1,,"city_npc"
2,"Rodhinbar",1,"550,1000",1000,90,1,1,,"city_npc,no_player_pick"
3,"Elmaliern",1,"800,1000",1000,-90,1,1,,"city_npc,no_player_pick"
4,"Shopper1",1,"1440,1000",1000,90,1,1,,"city_npc"
5,"Shopper2",1,"1700,1000",1000,90,1,1,,"city_npc"
6,"Shopper3",1,"1800,1000",1000,90,1,1,,"city_npc"
