"ID","Text ID","Object","Animation","Type","Trigger","Property"
"music/scene1",,"tavern",,"music","camera_reach_scene,1",
"Duhon/Any/1_1_city_tavern_talk1","Duhon/Any/1_1_city_tavern_talk1.1",1,"Talk","char","interact,1","interact,hold,angle:-90"
,"Duhon/Any/1_1_city_tavern_talk1.2",1,,,,"interact"
,"Duhon/Any/1_1_city_tavern_talk1.3",1,,,,"interact"
,"Duhon/Any/1_1_city_tavern_talk1.4",1,,,,"interact"
,"Duhon/Any/1_1_city_tavern_talk1.5",1,,,,"interact"
,"Duhon/Any/1_1_city_tavern_talk2.1",1,"Talk","char","interact,1","select:yesno,replayable,hold"
,,,,,"yes","food"
,"Duhon/Any/1_1_city_tavern_talk2no1",1,,,"no","interact"
"Vraesier/Orsanoas/1_1_city_tavern_talk1",,2,,"char","interact,2","angle:-90"
,"Vraesier/Orsanoas/1_1_city_tavern_talk1.1","pm","Talk",,,"interact,hold"
,"Vraesier/Orsanoas/1_1_city_tavern_talk1.2",2,"SitTalk",,,"interact,hold"
,,2,"Sit",,,"repeat after"
,"Vraesier/Orsanoas/1_1_city_tavern_talk1.3","pm",,,,"interact"
,"Vraesier/Orsanoas/1_1_city_tavern_talk1.4",2,"Sit",,,"interact,repeat"
"Vraesier/Orsanoas/1_1_city_tavern_talk2","Vraesier/Orsanoas/1_1_city_tavern_talk2.1",2,"SitTalk","char","interact,2","interact,hold,replayable,angle:-90"
"Vraesier/Rodhinbar/1_1_city_tavern_talk1",,2,,"char","interact,2","angle:-90"
,"Vraesier/Rodhinbar/1_1_city_tavern_talk1.1","pm","Talk",,,"interact,hold"
,"Vraesier/Rodhinbar/1_1_city_tavern_talk1.2",2,"SitTalk",,,"interact,hold"
,,2,"Sit",,,"repeat after"
,"Vraesier/Rodhinbar/1_1_city_tavern_talk1.3","pm",,,,"interact"
,"Vraesier/Rodhinbar/1_1_city_tavern_talk1.4","pm",,,,"interact"
,"Vraesier/Rodhinbar/1_1_city_tavern_talk1.5",2,"Sit",,,"interact,repeat after"
,"Vraesier/Rodhinbar/1_1_city_tavern_talk1.6","pm",,,,"interact"
,"Vraesier/Rodhinbar/1_1_city_tavern_talk1.7","pm",,,,"interact"
"Vraesier/Iri/1_1_city_tavern_talk1",,2,,"char","interact,2","angle:-90"
,"Vraesier/Iri/1_1_city_tavern_talk1.1","pm","Talk",,,"interact,hold"
,"Vraesier/Iri/1_1_city_tavern_talk1.2",2,"SitTalk",,,"interact,hold"
,,2,"Sit",,,"repeat after"
,"Vraesier/Iri/1_1_city_tavern_talk1.3","pm",,,,"interact"
,"Vraesier/Iri/1_1_city_tavern_talk1.4",2,"Sit",,,"interact,repeat after"
,"Vraesier/Iri/1_1_city_tavern_talk1.5","pm",,,,"interact"
,"Vraesier/Iri/1_1_city_tavern_talk1.6",2,"Sit",,,"interact,repeat"
"Vraesier/Nayedien/1_1_city_tavern_talk1","Vraesier/Nayedien/1_1_city_tavern_talk1.1",2,,"char","interact,2","interact,angle:-90"
,"Vraesier/Nayedien/1_1_city_tavern_talk1.2","pm",,,,"interact"
,"Vraesier/Nayedien/1_1_city_tavern_talk1.3",2,,,,"interact"
,"Vraesier/Nayedien/1_1_city_tavern_talk1.4","pm",,,,"interact"
,"Vraesier/Nayedien/1_1_city_tavern_talk1.5","pm","Talk",,,"interact,hold"
,"Vraesier/Nayedien/1_1_city_tavern_talk1.6",2,"SitTalk",,,"interact,hold"
,"Vraesier/Nayedien/1_1_city_tavern_talk1.7","pm",,,,"interact"
,"Vraesier/Nayedien/1_1_city_tavern_talk1.8",2,,,,"interact"
,"Vraesier/Nayedien/1_1_city_tavern_talk1.9","pm",,,,"interact"
,"Vraesier/Nayedien/1_1_city_tavern_talk1.10",2,,,,"interact"
"Vraesier/Minara/1_1_city_tavern_talk1","Vraesier/Minara/1_1_city_tavern_talk1.1",,"Talk","char","interact,2","interact,hold,angle:-90"
"Vraesier/Laguasangte/1_1_city_tavern_talk1","Vraesier/Laguasangte/1_1_city_tavern_talk1.1",,"Talk","char","interact,2","interact,hold,angle:-90"
"Vraesier/Elmaliern/1_1_city_tavern_talk1","Vraesier/Elmaliern/1_1_city_tavern_talk1.1",,"Talk","char","interact,2","interact,hold,angle:-90"
