"Move","Name","Buttons","Position","Prepare Animation","After Animation","AI Range","AI Delay","AI Condition","Range","Cooldown","Resource Cost","Power","Push Impact","Pull Impact","Up Impact","Down Impact","Critical Chance Bonus","Element","Status","Enemy Status","Special Effect","Property"
"C1.1","Heat Burst","Down,Forward,Special","Stand",,,250,,,250,,15,,,,,,,,59,,,
"C1.2","Adrenaline Burst","Down,Forward,Special","Stand",,,350,,,350,,17,,,,,,,,60,,,
"C1.3","Full Vitality","Down,Forward,Special","Stand",,,600,,,600,,21,,,,,,,,61,,,
"C1.4","Limit Breaching","Down,Forward,Special","Stand",,,1000,,,1000,,25,,,,,,,,62,,,
"C1.5","Temporal Ascension","Down,Forward,Special","Stand",,,2000,,,2000,,31,,,,,,,,63,,,
"C2.1","Heat Inner","Down,Backward,Special","Stand",,,250,,,250,60,,,,,,,,,64,,,
"C2.2","Powered Body","Down,Backward,Special","Stand",,,350,,,350,60,,,,,,,,,65,,,
"C2.3","Fiery Heart","Down,Backward,Special","Stand",,,600,,,600,60,,,,,,,,,66,,,
"C2.4","Inherit Might","Down,Backward,Special","Stand",,,1000,,,1000,60,,,,,,,,,67,,,
"C2.5","Arms of Morzug","Down,Backward,Special","Stand",,,2000,,,2000,60,,,,,,,,,68,,,
"C3.1","Heat Burst Inner","Backward,Down,Forward,Special","Stand",,,150,,,150,,25,125,300,,50,,,"Fire",,,,
"C3.2","Outer Energy","Backward,Down,Forward,Special","Stand",,,150,,,150,,27,186,400,,70,,,"Fire",,,,
"C3.3","Excess Power","Backward,Down,Forward,Special","Stand",,,300,,,300,,29,250,500,,90,,,"Fire",,,,
"C3.4","Small Star","Backward,Down,Forward,Special","Stand",,,460,,,460,,32,400,650,,120,,,"Fire",20,20,,
"C3.5","Avatar of Cituzk","Backward,Down,Forward,Special","Stand",,,750,,,750,,35,750,1000,,200,,,"Fire",20,20,,
"C4.1","Chill Burst","Guard,Forward,Special","Stand",,,150,,,150,,15,,,,,,,,69,,,
"C4.2","Cold Ward","Guard,Forward,Special","Stand",,,250,,,250,,17,,,,,,,,70,,,
"C4.3","Calm Soul","Guard,Forward,Special","Stand",,,400,,,400,,21,,,,,,,,71,,,
"C4.4","Complete Defence","Guard,Forward,Special","Stand",,,1000,,,1000,,25,,,,,,,,72,,,
"C4.5","Apotheosis","Guard,Forward,Special","Stand",,,2000,,,2000,,31,,,,,,,,73,,,
"C5.1","Chill Inner","Guard,Backward,Special","Stand",,,150,,,150,60,,,,,,,,,74,,,
"C5.2","Cool Body","Guard,Backward,Special","Stand",,,250,,,250,60,,,,,,,,,75,,,
"C5.3","Cool Heart","Guard,Backward,Special","Stand",,,400,,,400,60,,,,,,,,,76,,,
"C5.4","Inner Peace","Guard,Backward,Special","Stand",,,1000,,,1000,60,,,,,,,,,77,,,
"C5.5","Perfect Balance","Guard,Backward,Special","Stand",,,2000,,,2000,60,,,,,,,,,78,,,
"C6.1","Chill Burst Inner","Guard,Backward,Down,Special","Stand",,,230,,,230,,25,70,15,,,10,,"Water",,,,
"C6.2","Air Cooling","Guard,Backward,Down,Special","Stand",,,340,,,340,,27,100,40,,,20,,"Water",,,,
"C6.3","Cold Wave","Guard,Backward,Down,Special","Stand",,,580,,,580,,29,141,40,,,30,,"Water",,23,,
"C6.4","Dark Moon","Guard,Backward,Down,Special","Stand",,,930,,,930,,32,180,40,,,30,,"Water",,23,,
"C6.5","Avatar of Pizhezk","Guard,Backward,Down,Special","Stand",,,1550,,,1550,,35,235,60,,,50,,"Water",,"23,21",,
"A1.1","Hammer Burst",,,,,,,,,,,,,,,,,,,,,
"A1.2",,,,,,,,,,,,,,,,,,,,,,
"A1.3","Death Craft",,,,,,,,,,,,,,,,,,,,,
"A1.4",,,,,,,,,,,,,,,,,,,,,,
"A1.5","Reality Bending",,,,,,,,,,,,,,,,,,,,,
"A2.1","Hammer Inner",,,,,,,,,,,,,,,,,,,,,
"A2.2",,,,,,,,,,,,,,,,,,,,,,
"A2.3",,,,,,,,,,,,,,,,,,,,,,
"A2.4","Soul Forge",,,,,,,,,,,,,,,,,,,,,
"A2.5",,,,,,,,,,,,,,,,,,,,,,
"A3.1","Axe Burst",,,,,,,,,,,,,,,,,,,,,
"A3.2",,,,,,,,,,,,,,,,,,,,,,
"A3.3","Ancestor’s Legacy ",,,,,,,,,,,,,,,,,,,,,
"A3.4",,,,,,,,,,,,,,,,,,,,,,
"A3.5",,,,,,,,,,,,,,,,,,,,,,
"A4.1","Axe Inner",,,,,,,,,,,,,,,,,,,,,
"A4.2",,,,,,,,,,,,,,,,,,,,,,
"A4.3",,,,,,,,,,,,,,,,,,,,,,
"A4.4",,,,,,,,,,,,,,,,,,,,,,
"A4.5",,,,,,,,,,,,,,,,,,,,,,
"A5.1","Hammer Axe Mastery",,,,,,,,,,,,,,,,,,,,,
"A5.2",,,,,,,,,,,,,,,,,,,,,,
"A5.3",,,,,,,,,,,,,,,,,,,,,,
"A5.4",,,,,,,,,,,,,,,,,,,,,,
"A5.5",,,,,,,,,,,,,,,,,,,,,,
"B1.1","Armour Burst",,,,,,,,,,,,,,,,,,,,,
"B1.2",,,,,,,,,,,,,,,,,,,,,,
"B1.3",,,,,,,,,,,,,,,,,,,,,,
"B1.4",,,,,,,,,,,,,,,,,,,,,,
"B1.5",,,,,,,,,,,,,,,,,,,,,,
"B2.1","Armour Inner",,,,,,,,,,,,,,,,,,,,,
"B2.2",,,,,,,,,,,,,,,,,,,,,,
"B2.3",,,,,,,,,,,,,,,,,,,,,,
"B2.4",,,,,,,,,,,,,,,,,,,,,,
"B2.5",,,,,,,,,,,,,,,,,,,,,,
"B3.1","Helm Burst ",,,,,,,,,,,,,,,,,,,,,
"B3.2","Mind Expansion",,,,,,,,,,,,,,,,,,,,,
"B3.3",,,,,,,,,,,,,,,,,,,,,,
"B3.4",,,,,,,,,,,,,,,,,,,,,,
"B3.5",,,,,,,,,,,,,,,,,,,,,,
"B4.1","Helm Inner",,,,,,,,,,,,,,,,,,,,,
"B4.2",,,,,,,,,,,,,,,,,,,,,,
"B4.3",,,,,,,,,,,,,,,,,,,,,,
"B4.4","Higher Existence",,,,,,,,,,,,,,,,,,,,,
"B4.5",,,,,,,,,,,,,,,,,,,,,,
"B5.1","Armour Helm Mastery",,,,,,,,,,,,,,,,,,,,,
"B5.2",,,,,,,,,,,,,,,,,,,,,,
"B5.3",,,,,,,,,,,,,,,,,,,,,,
"B5.4","Lower Existence",,,,,,,,,,,,,,,,,,,,,
"B5.5",,,,,,,,,,,,,,,,,,,,,,
