"ID","Text ID","Object","Animation","Type","Trigger","Property"
"music/scene1",,"library",,"music","camera_reach_scene,1",
"Peurrus/Elmaliern/1_1_city_library_talk1","Peurrus/Elmaliern/1_1_city_library_talk1.1",,"Talk","char","interact,1","interact,hold"
"Peurrus/Orsanoas/1_1_city_library_talk1","Peurrus/Orsanoas/1_1_city_library_talk1.1",,"Talk","char","interact,1","interact,hold"
"Peurrus/Any/1_1_city_library_talk1","Peurrus/Any/1_1_city_library_talk1.1",1,"Talk","char","interact,1","interact,hold,angle:-90,repeat after"
,,1,"StopTalk",,,
,"Peurrus/Any/1_1_city_library_talk1.2",3,"Talk",,,"interact,hold,angle:90,repeat after"
,"Peurrus/Any/1_1_city_library_talk1.3",3,"StopTalk",,,"interact"
,"Peurrus/Any/1_1_city_library_talk1.4",3,,,,"interact"
,"Peurrus/Any/1_1_city_library_talk1.5",3,,,,"interact"
,"Peurrus/Any/1_1_city_library_talk1.6",3,,,,"interact"
,"Peurrus/Any/1_1_city_library_talk1.7",1,,,,"interact"
,"Peurrus/Any/1_1_city_library_talk1.8",1,,,,"interact"
,"Peurrus/Any/1_1_city_library_talk1.9",1,,,,"interact"
,"Peurrus/Any/1_1_city_library_talk1.10",3,,,,"interact"
,"Peurrus/Any/1_1_city_library_talk1.11",1,,,,"interact"
,"Peurrus/Any/1_1_city_library_talk1.12",1,,,,"interact"
,"Peurrus/Any/1_1_city_library_talk1.13",3,,,,"interact"
"Peurrus/Any/1_1_city_library_talk2","Peurrus/Any/1_1_city_library_talk2.1",1,"Talk","char","interact,1","interact,hold,replayable,repeat after"
,,1,"StopTalk",,,
"Dashisi/Iri/1_1_city_library_talk1","Dashisi/Iri/1_1_city_library_talk1.1",2,"Talk","char","interact,2","interact,hold,repeat after"
,,2,"StopTalk",,,"repeat after"
,,2,"TalkIdle",,,"repeat after"
,"Dashisi/Iri/1_1_city_library_talk1.2","pm","Talk",,,"interact,hold,repeat after"
