"ID","Name",,"Description"
"bottom_island","Tuvine Volke","472323",
"castle_donimalin1","Omin","825474",
"castle_donimalin2","Alunia","5ce8c5",
"castle_masendor1","Nalinis","29352d",
"castle_masendor2","Epslanis","797a68",
"castle_masendor3","Ellanis","474e19",
"castle_masendor4","Lakinis","25393a",
"castle_masendor5","Larsennis","a39ff8",
"castle_rendon_suclin","Rendon Suclin","ffaa00",
"castle_safienty1","Empakin","5783c5",
"castle_safienty2","Emperte","52cb84",
"castle_samsiamanu1","Sonsia","a8fef1",
"castle_samsiamanu2","Sinsia","de3bab",
"central_mountain1","Mennon","4a5545",
"central_mountain2","e2b6b6","e2b6b6",
"central_plain1","Baltuk","9ac862",
"central_plain2","Benkoic","5c7c34",
"central_plain3","Bactlason","affe4e",
"central_tundra1","5b7b8b","5b7b8b",
"central_tundra2","Abadae","abadae",
"central_tundra3","616f76","616f76",
"central_tundra4","9f8154","9f8154",
"central_tundra5","475c2d","475c2d",
"death1","751692","751692",
"death2","ab6ebd","ab6ebd",
"death3","593963","593963",
"death4","3e2545","3e2545",
"desert_island1","b4c383","b4c383",
"desert_island2","9abf21","9abf21",
"desert_lizard","29843c","29843c",
"desert_sand1","5a5413","5a5413",
"desert_sand2","89855b","89855b",
"desert_sand3","adaa82","adaa82",
"desert_sand4","8f8d73","8f8d73",
"desert_doomud_troll","Doomud","8db195",
"east_bottom_island1","428681","428681",
"east_bottom_island2","05f3e0","05f3e0",
"east_hoom_troll","Hoom","979978",
"east_plain1","9dac80","9dac80",
"east_plain2","719e75","719e75",
"east_plain3","bdde7f","bdde7f",
"east_plain4","93dc07","93dc07",
"east_plain5","9fc556","9fc556",
"east_plain6","c4f567","c4f567",
"east_plain7","c8d5ae","c8d5ae",
"east_plain8","128d1d","128d1d",
"east_top_island1","837300","837300",
"east_top_island2","d8be00","d8be00",
"east_top_island3","a88f28","a88f28",
"east_top_island4","d2c359","d2c359",
"east_tundra1","Vup",748376,
"east_tundra2","Dukun","cad7cb",
"east_tundra3","Hep","8edbcc",
"east_tundra4","Yap","5f6b60",
"east_tundra5","Sak","4d563d",
"great_sontriel1","8753b8","8753b8",
"great_sontriel2","bf22e1","bf22e1",
"great_sontriel3","Malrita","4e0099",
"great_sontriel4","Mlersia","7000dc",
"great_sontriel5","9f5ae0","9f5ae0",
"great_sontriel6","845ea8","845ea8",
"great_sontriel7","520ba0","520ba0",
"great_sontriel8","594c67","594c67",
"highland_hlilitan1","Hlilitan Henen","d1c1a2",
"highland_hlilitan2","Hlilitan Lopen","523a0d",
"highland1","c7a157","c7a157",
"highland2","72644a","72644a",
"highland3","Amuud Tuliec","efd39d",
"highland4","f1b545","f1b545",
"holy1","964a6c","964a6c",
"holy2","Kellitel","830b41",
"holy3","Valle","ea74a9",
"holy4","412330","412330",
"holy5","ff4c9d","ff4c9d",
"holy6","4a2e3b","4a2e3b",
"marsh_island1","c5e899","c5e899",
"marsh_island2","47675f","47675f",
"marsh_jungle1","Ludtiment Topalonc","825109",
"marsh_jungle2","Huaquxati Topalonc","136b55",
"marsh_majala1","Majala Suqzxotiac","ccb189",
"marsh_majala2","Majala Quutec","a0ca4e",
"marsh_majala3","Majala Nehualutan","e3a447",
"marsh_majala4","Majala","588400",
"mountain_debachan_darkelf","Debachan","503333",
"mountain1","Lehutloanten Kelitirit","901919",
"mountain2","7a0000","7a0000",
"mountain3","8e5e00","8e5e00",
"mountain4","786a4f","786a4f",
"mountain5","b47171","b47171",
"mountain6","5b1818","5b1818",
"mountain7","Kakadull","d60000",
"mountain8","Sukutar","da9003",
"near_rabbit_forest1","Issulun Celses","ffeb00",
"near_rabbit_forest2","Selendir Calustos","ff4100",
"near_rabbit_forest3","Pomeliat Niartolun","0078ff",
"oimita1","Garbarra","d9c722",
"oimita2","Ladaji","928600",
"oimita3","Oimata","d7cf75",
"oimita4","Pashawsi","615e43",
"port_lhu","Lhu","3d726e",
"port_lil","Lil","00ab9d",
"port_whe","Whe","5f7535",
"rabbit_forest1","Pamat Prestela","1ebf00",
"rabbit_forest2","Pamat Celses","9fdc94",
"rabbit_forest3","Pamat Shalaedon","9ae3b7",
"rabbit_forest4","Pamat Portiues","be4444",
"sisran_milkas_doll1","Matroicika Wehddol","e112e9",
"sisran_milkas_doll2","Merikonet Dallis","8c448f",
"sisran_milkas_doll3","Biesuek Poserein","dca9de",
"sisran_milkas_doll4","Roemaalnadic Cellalois","603862",
"sisran_milkas_doll5","Shinar Glossara","86008b",
"top_island","e39300","e39300",
"unicorn","8b00b1","8b00b1",
"wood1","87aeda","87aeda",
"wood2","0c4382","0c4382",
"wood3","c0dcfc","c0dcfc",
"wood4","7f8d9d","7f8d9d",
"wood5","a4c8f0","a4c8f0",
"wood6","003066","003066",
