"ID","Text ID","Object","Animation","Type","Trigger","Property"
"Amunsa/Any/1_1_city_blacksmith_talk1","Amunsa/Any/1_1_city_blacksmith_talk1.1",1,"Talk","char","interact,1","interact,hold"
,"Amunsa/Any/1_1_city_blacksmith_talk1.2",1,,,,"interact"
,"Amunsa/Any/1_1_city_blacksmith_talk1.3",1,,,,"interact"
,"Amunsa/Any/1_1_city_blacksmith_talk1.4",1,,,,"interact"
,"Amunsa/Any/1_1_city_blacksmith_talk1.5",1,,,,"interact"
,"Amunsa/Any/1_1_city_blacksmith_talk1.6",1,,,,"interact"
,"Amunsa/Any/1_1_city_blacksmith_talk1.7",1,,,,"interact"
"Amunsa/Any/1_1_city_blacksmith_talk2","Amunsa/Any/1_1_city_blacksmith_talk2.1",1,"Talk","char","interact,1","select:yesno,replayable,hold"
,,1,,,"yes","shop"
,"Amunsa/Any/1_1_city_blacksmith_talk2no1",1,,,"no","interact"
"Amunsa/Duskuksa/1_1_city_blacksmith_talk1","Amunsa/Duskuksa/1_1_city_blacksmith_talk1.1",1,"Talk","char","interact,1","interact,hold"
,"Amunsa/Duskuksa/1_1_city_blacksmith_talk1.2",1,,,,"interact"
,"Amunsa/Duskuksa/1_1_city_blacksmith_talk1.3",1,,,,"interact"
,"Amunsa/Duskuksa/1_1_city_blacksmith_talk1.4","pm",,,,"interact"
,"Amunsa/Duskuksa/1_1_city_blacksmith_talk1.5","pm",,,,"interact"
,"Amunsa/Duskuksa/1_1_city_blacksmith_talk1.6",1,,,,"interact"
,"Amunsa/Duskuksa/1_1_city_blacksmith_talk1.7","pm",,,,"interact"
"Amunsa/Duskuksa/1_1_city_blacksmith_talk2","Amunsa/Duskuksa/1_1_city_blacksmith_talk2.1",1,"Talk","char","interact,1","select:yesno,replayable,hold"
,,1,,,"yes","shop"
,"Amunsa/Any/1_1_city_blacksmith_talk2no1",1,,,"no","interact"
"Velmidas/Any/1_1_city_blacksmith_talk1","Velmidas/Any/1_1_city_blacksmith_talk1.1",2,"Bow","char","interact,2","interact,hold"
,"Velmidas/Any/1_1_city_blacksmith_talk1.2",2,"Talk",,,"interact,hold"
,"Velmidas/Any/1_1_city_blacksmith_talk1.3",2,,,,"interact"
,"Velmidas/Any/1_1_city_blacksmith_talk1.4",2,,,,"interact"
,"Velmidas/Any/1_1_city_blacksmith_talk1.5",2,,,,"interact"
,"Velmidas/Any/1_1_city_blacksmith_talk1.6",2,,,,"interact"
,"Velmidas/Any/1_1_city_blacksmith_talk1.7",2,,,,"interact"
,"Velmidas/Any/1_1_city_blacksmith_talk1.8",2,,,,"interact"
"Velmidas/Any/1_1_city_blacksmith_talk2","Velmidas/Any/1_1_city_blacksmith_talk2.1",2,"Talk","char","interact,2","interact,replayable,hold"
"Duskuksa/Nayedien/1_1_city_blacksmith_talk1","Duskuksa/Nayedien/1_1_city_blacksmith_talk1.1",3,"Talk","char","interact,3","interact,hold"
,"Duskuksa/Nayedien/1_1_city_blacksmith_talk1.2","pm","Talk",,,"interact,hold"
,"Duskuksa/Nayedien/1_1_city_blacksmith_talk1.3",3,,,,"interact"
,"Duskuksa/Nayedien/1_1_city_blacksmith_talk1.4","pm",,,,"interact"
,"Duskuksa/Nayedien/1_1_city_blacksmith_talk1.5",3,,,,"interact"
,"Duskuksa/Nayedien/1_1_city_blacksmith_talk1.6",3,,,,"interact"
,"Duskuksa/Nayedien/1_1_city_blacksmith_talk1.7",3,,,,"interact"
,"Duskuksa/Nayedien/1_1_city_blacksmith_talk1.8","pm",,,,"interact"
"Duskuksa/Vraesier/1_1_city_blacksmith_talk1","Duskuksa/Vraesier/1_1_city_blacksmith_talk1.1",3,"Talk","char","interact,3","interact,hold"
,"Duskuksa/Vraesier/1_1_city_blacksmith_talk1.2",3,,,,"interact"
,"Duskuksa/Vraesier/1_1_city_blacksmith_talk1.3","pm","Talk",,,"interact,hold"
,"Duskuksa/Vraesier/1_1_city_blacksmith_talk1.4",3,,,,"interact"
