"Buttons","Move","Name","Position","Stat Requirement","Requirement Move","Prepare Animation","After Animation","AI Range","AI Delay","AI Condition","Range","Cooldown","Resource Cost","Power","Push Impact","Pull Impact","Up Impact","Down Impact","Critical Chance Bonus","Element","Status","Enemy Status","Special Effect","Property"
"Forward,Forward,Strong","sffstrong","Air Shot","Stand",,,,,2000,,,3000,,1,100,,,,150,,"Physical",,,,"can_hold:power"
"Forward,Forward,Strong","affstrong","Ground Shot","Air",,,,,500,,,3000,,1,115,,,,150,,"Physical",,,,"can_hold:power"
"Forward,Strong","cfstrong","Aim Shot","Couch",,,,,2000,,,3000,,1,120,160,,,60,,"Physical",,,,"can_hold:power"
"Forward,Strong","sfstrong","Aim Shot","Stand",,,,,2000,,,3000,,1,110,200,,,40,,"Physical",,,,"can_hold:power"
"Forward,Strong","afstrong","Aim Shot","Air",,,,,2000,,,3000,,1,100,120,,,120,,"Physical",,,,"can_hold:power"
"Down,Strong","adstrong","Down Shot","Air",,,,,2000,,,3000,,1,130,,,,280,,"Physical",,,,
,"adstrong2","Full Ground Shot","Air","Dexterity:71","affstrong",,,1000,,,3000,,5,100,,,,150,,"Physical",,,,
"Down,Forward,Strong","adfstrong","Air Tri-Shots","Air","Dexterity:60",,,,1000,,,2000,,3,150,30,,,200,,"Physical",,,,
"Weak","cweak1","Back fist","Couch",,,,,150,,,,,,15,24,,,40,,"Physical",,,,
"Weak","cweak2","Push","Couch",,"cweak1",,,250,,,,,,12,112,,,64,,"Physical",,,,
"Special","cweak2special","Quick Shot","Couch","Dexterity:29","cweak2",,,500,,,600,,1,82,80,,,35,,"Physical",,,,
"Strong","cstrong1","Sword Sweep","Couch",,,,,250,,,,,,31,40,,,60,,"Physical",,,,
"Strong","cstrong2","Sword Slash In","Couch",,"cstrong1",,,300,,,,,,45,56,,,80,,"Physical",,,,
"Strong","cstrong3","Sword Slash","Couch","Strength:47","cstrong2",,,300,,,,,,61,75,,,70,,"Physical",,,,
"Backward,Strong","cbstrong","Sky Shot","Couch","Dexterity:26",,,,1900,,,2500,,1,95,,,,75,,"Physical",,,,"spawn,spawn after,spawn same,spawn sky,aim:near target"
"Weak","sweak1","Elbow Push","Stand",,,,,120,,,,,,18,32,,,28,,"Physical",,,,
"Weak","sweak2","Arrow Stab","Stand",,"sweak1",,,250,,,,,,26,24,,,80,,"Physical",,,,
,"sweak3","Arrow Slash","Stand","Strength:22","sweak2",,,250,,,,,,37,30,,,90,,"Physical",,,,
"Special","sweak2special1","Quick Shot","Stand","Dexterity:34","sweak2",,,500,,,600,,1,82,80,,,35,,"Physical",,,,
"Special","sweak2special2","Triple Quick Shots","Stand","Dexterity:50","sweak2special1",,,500,,,600,,3,82,80,,,35,,"Physical",,,,
,"sweak3special1",,"Stand",,"sweak3",,,,,,,,,,,,,,,"Physical",,,,
,"sweak3special2",,"Stand",,"sweak3special1",,,,,,,,,,,,,,,"Physical",,,,
"Strong","sweak1strong","Upper Smash","Stand",,"sweak1",,,300,,,,,,40,,,240,,,"Physical",,,,
"Strong","sweak1strong2","Bow Smash","Stand","Strength:52","sweak1strong",,,300,,,,,,60,,,,200,,"Physical",,,,
"Strong","sweak2strong","Front Kick","Stand",,"sweak2",,,300,,,,,,48,120,,,200,,"Physical",,,,
"Strong","sweak2strong2","Fast Step Slash","Stand","Strength:66","sweak2strong",,,300,,,,,,79,80,,,,0.1,"Physical",,,,
"Strong","sstrong1","Sword Slash","Stand",,,,,300,,,,,,35,60,,,40,,"Physical",,,,
"Strong","sstrong2","Sword Stab","Stand",,"sstrong1",,,300,,,,,,46,20,,72,,,"Physical",,,,
"Strong","sstrong3","Sword Slash Out","Stand","Strength:41","sstrong2",,,300,,,,,,68,55,,,80,,"Physical",,,,
,"sstrong4","Sword Spin","Stand","Strength:55","sstrong3,sstrong5",,,320,,,,,,40,60,,,,,"Physical",,,,
,"sstrong5","Sword Dance","Stand","Agility:62","sstrong4",,,350,,,,,,,,,,,,"Physical",,,,
"Weak","aweak1","Bow Push","Air",,,,,150,,,,,,12,36,,,40,,"Physical",,,,
"Weak","aweak2","Bow Smash","Air",,"aweak1",,,250,,,,,,21,100,,,24,,"Physical",,,,
"Strong","astrong1","Sword Slash","Air",,,,,200,,,,,,28,60,,,48,,"Physical",,,,
"Strong","astrong2","Sword Slash Down","Air",,"astrong1",,,200,,,,,,38,96,,,48,,"Physical",,,,
"Special","cspecial","Craft Ammo","Couch",,,,,350,,"resource<:30",,,-2,,,,,,,"Physical",,,,
"Special","cspecial2","Fast Craft Ammo","Couch","Wisdom:50","cspecial",,,350,,"resource<:70",,,-6,,,,,,,"Physical",,,,
"Special","sspecial","Call For Ammo","Stand",,,,,350,,"resource<:10",,7,,,,,,,,"Physical",,,,"helper,helper drop item:Rodhinbar Arrow"
"Special","aspecial","Call For Ammo","Air",,,,,350,,"resource<:10",,7,,,,,,,,"Physical",,,,"helper,helper drop item:Rodhinbar Arrow"
"Backward,Special","bsspecial","Flee Craft Ammo","Stand","Agility:35",,,,500,,,,,-1,,,,,,,"Physical",,,,"all child moveset,x_momentum:300"
