"Move","Name","Buttons","Position","Prepare Animation","After Animation","AI Range","AI Delay","AI Condition","Range","Cooldown","Resource Cost","Power","Push Impact","Pull Impact","Up Impact","Down Impact","Critical Chance Bonus","Element","Status","Enemy Status","Special Effect","Property"
"C1.1","Barrage","Down,Forward,Weak","Stand",,,2000,,,2000,0,3,95,100,,,50,,"Physical",,,,"all child moveset"
"C1.2","Swift Arrows","Down,Forward,Weak","Stand",,,2000,,,2000,0,4,121,100,,,50,,"Physical",,,,"all child moveset"
"C1.3","Rapid Shots","Down,Forward,Weak","Stand",,,2000,,,2000,0,5,143,100,,,50,0.2,"Physical",,,,"all child moveset"
"C1.4","Volley","Down,Forward,Weak","Stand",,,2000,,,2000,0,6,168,150,,,100,0.2,"Physical",,,,"all child moveset"
"C1.5","Finest Archery","Down,Forward,Weak","Stand",,,3000,,,3000,0,7,186,150,,,100,0.2,"Physical",94,,,"all child moveset"
"C2.1","Charged Shot","Down,Forward,Strong","Stand",,,4000,,,4500,6,1,215,400,,50,,,"Physical",,,,
"C2.2","Penetrating Shot","Down,Forward,Strong","Stand",,,4000,,,4500,6,1,275,400,,50,,,"Physical",,,,"penetrate"
"C2.3","Great Shot","Down,Forward,Strong","Stand",,,5000,,,5500,6,1,350,400,,50,,0.5,"Physical",,,,"penetrate"
"C2.4","Power Shot","Down,Forward,Strong","Stand",,,5000,,,5500,6,1,416,800,,200,,0.5,"Physical",,,,"penetrate"
"C2.5","Kill Shot","Down,Forward,Strong","Stand",,,6000,,,6500,6,1,1352,800,,200,,0.5,"Physical",,,,"penetrate,no defence"
"C3.1","Arrow Shower","Guard,Down,Strong","Stand",,,2000,,,2200,0,12,44,,,,100,,"Physical",,,,"spawn,spawn after,spawn same,spawn sky,aim:near target,spawn number:3"
"C3.2","Arrow Swarm","Guard,Down,Strong","Stand",,,2000,,,2200,0,14,57,,,,100,,"Physical",,,,"spawn,spawn after,spawn same,spawn sky,aim:near target,spawn number:2"
"C3.3","Arrow Storm","Guard,Down,Strong","Stand",,,2000,,,2200,0,16,70,,,,100,,"Physical",,35,,"spawn,spawn after,spawn same,spawn sky,aim:near target,spawn number:2"
"C3.4","Arrow Tempest","Guard,Down,Strong","Stand",,,2000,,,2200,0,20,95,,,,100,,"Physical",,35,,"spawn,spawn after,spawn same,spawn sky,aim:near target,spawn number:4"
"C3.5","Blot Out the Sun","Guard,Down,Strong","Stand",,,2000,,,2200,0,20,120,,,,100,,"Physical",,35,,"spawn,spawn after,spawn same,spawn sky,aim:near target,spawn number:4,no dodge"
"C4.1","Precision Slash","Guard,Forward,Strong","Stand",,,300,,,,3,0,100,50,,,65,0.3,"Physical",,,,"all child moveset,no dodge"
"C4.2","Razor Edge Slash","Guard,Forward,Strong","Stand",,,300,,,,3,0,121,50,,,65,0.3,"Physical",,33,,"all child moveset,no dodge"
"C4.3","Penetrating Slash","Guard,Forward,Strong","Stand",,,300,,,,3,0,138,50,,,65,1,"Physical",,33,,"all child moveset,no dodge"
"C4.4","Undeniable Attack","Guard,Forward,Strong","Stand",,,300,,,,3,0,170,50,,,65,1,"Physical",,33,,"all child moveset,no dodge,no defence"
"C4.5","Fateful Assault","Guard,Forward,Strong","Stand",,,300,,,,3,0,215,50,,,65,1,"Physical",,33,,"all child moveset,no dodge,no defence,no guard"
