"Buttons","Move","Name","Position","Stat Requirement","Requirement Move","Prepare Animation","After Animation","AI Range","AI Delay","AI Condition","Range","Cooldown","Resource Cost","Power","Push Impact","Pull Impact","Up Impact","Down Impact","Critical Chance Bonus","Element","Status","Enemy Status","Special Effect","Property"
"Weak","cweak1","Low Stab Down","Couch",,,,,250,,,,,,9,,,,35,,"Physical",,,,
"Weak","cweak2","Low Stab ","Couch",,"cweak1",,,250,,,,,,13,30,,,,,"Physical",,,,
"Weak","cweak3","Low Stab Up","Couch",,"cweak2",,,250,,,,,,15,,,25,,,"Physical",,,,
"Weak","cweak4","Low Stab Down","Couch",,"cweak3",,,250,,,,,,11,,,,35,,"Physical",,,,
"Weak","cweak5","Low Stab ","Couch",,"cweak4",,,250,,,,,,13,30,,,,,"Physical",,,,
"Strong","cweak1strong","Low Slash Down","Couch",,"cweak1",,,250,,,,,,25,,,,80,,"Physical",,,,
"Strong","cweak2strong","Low Slash Up","Couch",,"cweak2",,,250,,,,,,31,,,110,,,"Physical",,,,
"Strong","cweak3strong","Low Slash","Couch",,"cweak3",,,250,,,,,,31,,,110,,,"Physical",,,,
"Strong","cweak4strong","Throw Caltrops","Couch","Intelligence:27","cweak4",,,100,,,,,8,35,,,,,,"Physical",,,,"penetrate,one hit per enemy"
"Strong","cweak5strong","Throw Flashbang","Couch","Intelligence:68","cweak5",,,200,,,250,,12,3,70,,,,,"Physical",,,,"penetrate"
"Strong","cstrong1","Throw Bladed Spinner","Couch",,,,,250,,,700,,6,45,60,,,,,"Physical",,,,"no hit combo"
"Strong","cstrong2","Throw Bladed Spinner","Couch",,"cstrong1",,,250,,,700,,6,45,60,,,,,"Physical",,,,"no hit combo"
"Strong","cstrong3","Throw Bladed Spinner","Couch",,"cstrong2",,,250,,,700,,6,45,60,,,,,"Physical",,,,"no hit combo"
"Strong","cstrong4","Throw Bladed Spinner","Couch","Intelligence:55","cstrong3",,,250,,,700,,6,45,60,,,,,"Physical",,,,"no hit combo"
"Strong","cstrong5","Throw Bladed Spinner","Couch","Intelligence:70","cstrong4",,,250,,,700,,6,45,60,,,,,"Physical",,,,"no hit combo"
"Weak","cstrong1weak","Throw Pocket Sand","Couch","Wisdom:32","cstrong1",,,250,,,150,,2,1,,,,,,"Physical",,,,"penetrate"
"Weak","cstrong2weak","Throw Shock Stone","Couch","Wisdom:48","cstrong2",,,600,,,350,,5,56,,,,,,"Air",,,,
"Weak","cstrong3weak","Throw Firework","Couch","Wisdom:61","cstrong3",,,500,,,250,,9,84,,,,,,"Fire",,,,"penetrate"
"Weak","cstrong4weak","Throw Acid Bomb","Couch","Wisdom:76","cstrong4",,,500,,,250,,15,142,,,,,,"Earth",,,,
"Weak","cstrong5weak","Throw Frost Bomb","Couch","Wisdom:85","cstrong5",,,500,,,250,,23,125,,,,,,"Water",,,,"penetrate"
"Weak","sweak1","Stab Down","Stand",,,,,250,,,,,,13,,,,25,,"Physical",,,,
"Weak","sweak2","Stab ","Stand",,"sweak1",,,250,,,,,,16,35,,,,,"Physical",,,,
"Weak","sweak3","Stab Up","Stand",,"sweak2",,,250,,,,,,18,,,35,,,"Physical",,,,
"Weak","sweak4","Stab Down","Stand",,"sweak3",,,250,,,,,,14,,,,25,,"Physical",,,,
"Strong","sweak1strong","Slash Down","Stand",,"sweak1",,,250,,,,,,31,,,,110,,"Physical",,,,
"Strong","sweak2strong","Slash Up","Stand",,"sweak2",,,250,,,,,,26,,,80,,,"Physical",,,,
"Strong","sstrong1","Throw Shrapnel Bomb","Stand","Intelligence:48",,,,300,,,250,,21,24,112,,,,0.1,"Physical",,,,"no hit combo,penetrate"
"Strong","sstrong2","Throw Small Bomb","Stand","Intelligence:65","sstrong1",,,300,,,250,,28,200,175,,,150,0.05,"Fire",,,,"penetrate"
"Weak","aweak1","Air Stab","Air",,,,,250,,,,,,10,,,,,,"Physical",,,,
"Weak","aweak2","Air Stab","Air",,"aweak1",,,250,,,,,,12,,,,,,"Physical",,,,
"Strong","astrong1","Air Slash Down","Air",,,,,250,,,,,,46,,,,150,,"Physical",,,,
"Special","cspecial","Salvage Scrap","Couch",,,,,,,,,,-10,,,,,,,"Physical",,,,
"Forward,Special","cfspecial","Callin Care Package","Couch","Wisdom:65",,,,350,,,,11,,,,,,,,"Physical",,,,"helper,helper drop item:Trap Pack"
