"ID","Name","Culture","Commander","Leader 1","Leader 2","Leader 3","Troop 1","Troop 2","Troop 3","Troop 4","Troop 5","Air 1","Air 2","Air 3","Air 4","Air 5","Retinue 1","Retinue 2","Retinue 3"
"small1","Bigta's Spears","small","leader_bigta","small_rabbit_leader_banner","small_rabbit_leader_knight","small_rabbit_leader_knight","small_rabbit_spear","small_rabbit_spear","small_rabbit_spear","small_rabbit_sling","small_rabbit_snail_cav","small_eagle_air_stone","small_eagle_air_stone","small_eagle_air_stone","small_eagle_air_stone",,"small_rabbit_leader_banner","small_rabbit_leader_hero",
"small2","Adaqua's Skirmishers","small","leader_adaqua","small_rabbit_leader_banner",,,"small_rabbit_sling","small_rabbit_sling","small_rabbit_sling","small_rabbit_spear","small_rabbit_killer","small_eagle_air_stone","small_eagle_air_stone","small_eagle_air_stone",,,"small_rabbit_leader_hero",,
"small3","Vasla's Runners","small","leader_vasla","small_rabbit_leader_hero",,,"small_rabbit_hound_cav","small_rabbit_hound_cav","small_rabbit_snail_cav","small_rabbit_sling",,"small_eagle_air_stone","small_eagle_air_stone","small_eagle_air_stone","small_eagle_air_stone","small_eagle_air_stone","small_rabbit_leader_shaman","small_rabbit_leader_shaman",
"small4","Iri's Siegers","small","leader_iri","small_rabbit_leader_banner","small_rabbit_leader_banner",,"small_rabbit_sling","small_rabbit_sling","small_rabbit_cannon","small_rabbit_spear","small_snail_sword","small_eagle_air_stone","small_eagle_air_stone",,,,"small_rabbit_leader_banner",,
"small5","Yuawies's Protectors","small","leader_yuawies","small_rabbit_leader_knight","small_rabbit_leader_banner",,"small_snail_sword","small_snail_sword","small_snail_old","small_rabbit_spear","small_rabbit_sling","small_eagle_air_stone","small_eagle_air_stone","small_eagle_air_stone",,,"small_rabbit_leader_shaman",,
"small6","Buikuuh's Followers","small","leader_buikuuh","small_rabbit_leader_banner","small_rabbit_leader_knight","small_rabbit_leader_hero","small_snail_sword","small_snail_old","small_rabbit_hound_cav","small_rabbit_trebuchet","small_rabbit_trebuchet","small_eagle_air_stone","small_eagle_air_stone",,,,"small_rabbit_leader_shaman",,
"small7","Olsilin's Playmates","small","small_rabbit_leader_shaman","leader_olsilin","small_rabbit_leader_shaman",,"small_rabbit_spear","small_rabbit_spear","small_rabbit_killer","small_rabbit_hound_cav",,"small_eagle_air_stone",,,,,"small_rabbit_leader_hero",,
"small8","Kak's Barrel","small","leader_kak","small_rabbit_leader_banner","small_rabbit_leader_shaman",,"small_rabbit_snail_cav","small_rabbit_hound_cav","small_rabbit_sling","small_rabbit_sling",,"small_eagle_air_stone","small_eagle_air_stone","small_eagle_air_stone",,,"small_rabbit_leader_shaman",,
"small9","Nadvalin's Friends","small","leader_nadvalin","small_rabbit_leader_banner","small_rabbit_leader_banner","small_rabbit_leader_shaman","small_rabbit_spear","small_rabbit_sling","small_snail_old","small_snail_old",,"small_eagle_air_stone","small_eagle_air_stone",,,,"small_rabbit_leader_banner","small_rabbit_leader_banner",
"castle1","Tulia's Rangers","castle","leader_tulia","castle_human_leader_ranger","castle_human_leader_ranger",,"castle_human_militia_bow","castle_human_militia_bow","castle_human_militia_spear","castle_human_militia_spear","castle_dog_flail","castle_cat_air_rocket_bomb",,,,,"castle_human_leader_ranger",,
"castle2","Monnirl's Knights","castle","leader_monnirl","castle_human_leader_mage","castle_human_leader_banner",,"castle_human_knight","castle_human_knight","castle_human_militia_spear","castle_human_militia_spear",,"castle_human_air_flying_monk",,,,,"castle_human_leader_mage","castle_human_leader_banner",
"castle3","Hermanos's Friends","castle","leader_hermanos","castle_human_leader_lord","castle_human_leader_jester","castle_human_leader_banner","castle_dog_flail","castle_cat_shield_crossbow","castle_human_knight_cav",,,"castle_cat_air_rocket_bomb",,,,,"castle_human_leader_banner","castle_human_leader_jester",
"castle4","Savalorse's Brigade","castle","leader_savalorse","castle_human_leader_mage","castle_human_leader_banner",,"castle_human_militia_spear","castle_human_knight","castle_dog_catapult","castle_dog_catapult",,"castle_cat_air_rocket_bomb","castle_cat_air_rocket_bomb",,,,"castle_human_leader_ranger","castle_human_leader_ranger",
"castle5","Vurus's Army","castle","leader_vurus","castle_human_leader_lord","castle_human_leader_banner",,"castle_human_flower_knight","castle_human_knight_cav","castle_human_knight",,,,,,,,"castle_human_leader_banner","castle_human_leader_lord",
"castle6","The Champion","castle","leader_champion",,,,,,,,,,,,,,,,
"castle7","Quivenly's Protectors","castle","leader_quivenly","castle_human_leader_mage","castle_human_leader_mage",,"castle_human_knight","castle_human_militia_spear","castle_human_militia_spear","castle_human_militia_bow",,"castle_human_air_flying_monk","castle_human_air_flying_monk",,,,"castle_human_leader_lord",,
"doll1","King's Court","doll","leader_doll_king","doll_leader_repair","doll_leader_jester",,"doll_candle_spear","doll_candle_spear","doll_maid_knight","doll_butler_knife","doll_hammer","doll_air_mechanical_bird","doll_air_mechanical_bird","doll_air_mechanical_bird","doll_air_mechanical_bird","doll_air_mechanical_bird","doll_leader_maker","doll_leader_repair","doll_leader_jester"
"doll2","Prince's Followers","doll","leader_doll_prince","doll_leader_puppetmaster","doll_leader_jester",,"doll_knight_cav","doll_knight_cav","doll_hammer","doll_thrower","doll_claw","doll_air_mechanical_bird",,,,,"doll_leader_maker","doll_leader_repair",
"doll3","Princess's Servants","doll","leader_doll_princess","doll_leader_repair","doll_leader_repair",,"doll_maid_knight","doll_maid_knight","doll_butler_knife","doll_butler_knife",,"doll_air_mechanical_bird","doll_air_balloon",,,,"doll_leader_maker","doll_leader_puppetmaster",
"doll4","Wagon's Train","doll","leader_doll_wagon","doll_leader_maker","doll_leader_repair",,"doll_knight_cav","doll_claw","doll_thrower","doll_witch",,"doll_air_balloon","doll_air_balloon",,,,"doll_leader_maker","doll_leader_jester",
"doll5","Hus's Helpers","doll","leader_hus","doll_leader_jester","doll_leader_jester",,"doll_candle_spear","doll_candle_spear","doll_candle_spear","doll_hammer","doll_hammer","doll_air_mechanical_bird","doll_air_mechanical_bird",,,,"doll_leader_jester",,
"doll6","Verlindas's Attendees","doll","leader_verlindas","doll_leader_jester","doll_leader_jester",,"doll_witch","doll_witch","doll_knight_cav","doll_claw",,"doll_air_mechanical_bird","doll_air_mechanical_bird",,,,"doll_leader_jester",,
"doll7","Noxbox 201's Fun","doll","leader_noxbox_201","doll_leader_maker","doll_leader_maker","doll_leader_repair","doll_thrower","doll_hammer","doll_hammer",,,"doll_air_balloon",,,,,"doll_leader_maker",,
"doll8","Tensimpho's Entourage","doll","leader_tensimpho","doll_leader_repair","doll_leader_puppetmaster",,"doll_candle_spear","doll_candle_spear","doll_thrower","doll_thrower",,"doll_air_mechanical_bird","doll_air_balloon",,,,"doll_leader_repair","doll_leader_repair",
