"ID","Ruler","Leader",,,,,,,,,"Note","Art","Troop Style","Tech special","Town Style"
"barren","leader_vok","leader_dook","leader_dunbi","leader_tehcu","leader_ahaddi","leader_gillasis","leader_pao_la_sin","leader_mengkja","leader_esluoya","leader_semeyawa","extremely_simple_city_build,_units_can_be_created_from_mainline_building._inferior_quality_overall._long_build_time.",,"high_supply_cost,_low_number,_high_capacity,moderate_quality,low upkeep",,
"castle","leader_king","leader_champion","leader_tulia","leader_monnirl","leader_nayedien","leader_hermanos","leader_vurus","leader_quivenly","leader_aquanturas","leader_savalorse","moderate_at_everything,_castle_main_building_is_the_core_for_strong_unit_recruit_instead_of_specialise_buildings","medieval","moderate_supply_cost,_moderate_number,_moderate_capacity,moderate_quality,moderate upkeep",,"some use supply to maintain"
"death","leader_avalkari","leader_kadeloner","leader_forgotten","leader_laggail","leader_emlai","leader_mounniley","leader_duvdup","leader_rinini","leader_negkoi","leader_amupadeble","low_supply_generation,_humanity_vs_terror,_humanity_unlock_5_heroes_and_diplomacy/integration_with_other_factions,","ancient_greek","low_capacity,_low_supply_cost,_moderate_number,low_quality,no upkeep",,
"demon","leader_tolhhunn","leader_rulmtae","leader_alkumsen","leader_kalimny","leader_nalluqqeiyt","leader_sapianou","leader_tolzarnkan","leader_littleboy","leader_littlegirl","leader_lamorkul","no_units_and_building_of_its_own._require_integration_of_other_factions._","old_chinese/japanese","summon_only,no upkeep",,
"desert","leader_saltun","leader_rodhinbar","leader_kaweina","leader_cheermaker","leader_abubaba","leader_entaguz","leader_gajik","leader_bajiniri","leader_bajumiji","leader_kumaisheh","low_tech_upgrade,_low_supply,_most_focus_on_magic,_extremely_high_gold_generate","muslim/turkish/mongolian","low_number,_low_capacity,_moderate_number,_high_quality,moderate upkeep",,"no_garrison_at_all"
"doll","leader_doll_king","leader_doll_prince","leader_doll_princess","leader_doll_queen","leader_doll_wagon","leader_hus","leader_verlindas","leader_taladamun","leader_tensimpho","leader_noxbox_201","cannot_integrate_other_factions_except_death_and_undead_race_unit",,"Very low gold cost,low_supply_cost,_moderate_number,_high_capacity,_medium_qualtiy,high upkeep",,"high gold use"
"highland","leader_garun","leader_orsanoas","leader_ozna","leader_kadamyas","leader_entium","leader_shumeyu","leader_bej","leader_hokem","leader_lesenyre","leader_mcpubba",,"celtic/nordic","moderate_supply_cost,_low_number,_low_capacity,moderate_quality,low upkeep",,"various_building_give_garrison"
"marsh","leader_motji'aa","leader_lohgehh","leader_lukukpo","leader_boggod","leader_lepgusd","leader_kifid","leader_mahunsijee","leader_tuojesa","leader_glomuk","leader_laguasangte","no_natural_happiness_and_gold_generation_of_its_own,_require_trigger_of_events_from_buildings_and_battles.","aztec","low_number,_high_capacity,_low_supply_cost,_low_quality,low upkeep",,"only_guard_give_garrison"
"mountain","leader_asgane","leader_duskuksa","leader_lohvroh","leader_minara","leader_augtual","leader_oodoo","leader_zakalanirn","leader_gsunper","leader_lanslina","leader_salansan","focus_on_tradition_and_dark_elf_integration_dark_elf_building_bring_light_units_variety_and_high_happiness_increase_at_some_gold_upkeep_cost.","egyptian_inspired","high_supply_cost,_low_number,_low_capacity,high_quality,high upkeep",,
"port","leader_ehi","leader_peva","leader_motdasis","leader_vanmaggas","leader_kirnharl","leader_kaddun","leader_ikkanwi","leader_soheh","leader_nass","leader_sino","focus_on_tech_vs_low,_high_tech_unit_come_from_trade_port_that_cost_a_lot_to_hire,_will_require_many_gold_buildings_to_sustain",,"moderate_supply_cost,_moderate_number,_low_capacity,high_quality,high upkeep",,
"small","leader_bigta","leader_adaqua","leader_yuawies","leader_iri","leader_buikuuh","leader_nalana","leader_olsilin","leader_vasla","leader_nadvalin","leader_peltino","focus_on_war_vs_peace,_most_war_buildings_cost_happiness,_low_gold_and_supply_generation","medieval","high_number,_high_capacity,_low_supply_cost,_low_quality,low upkeep","better_capacity",
"wood","leader_pakakvadi","leader_armina","leader_bauqah","leader_erkevhern","leader_qeunci","leader_dimwa","leader_jumu","leader_shedna","leader_mashalue","leader_kak","almost_no_gold_generation,_require_getting_gold_from_battle_victory","early_medieval","moderate_supply_cost,_low_number,_moderate_capacity,moderate_quality,low upkeep",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"free",,"leader_elmaliern","leader_amunsa","leader_parna","leader_eona","leader_filia","leader_unsi_ed","leader_sonagsha","leader_entaguz","leader_kapuni",,,,,
,,"leader_dashisi","leader_amgarn","leader_oanogoht","leader_remance","leader_vraesier","leader_nraesier","leader_kutip'aeh","leader_diezralvir","leader_mratarvir",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"holy","leader_aunnial","leader_niavesia","leader_veno","leader_ralaviel","leader_gaf_ra_naf","leader_raasohd","leader_ab","leader_zy","leader__caemilr","leader_aarlindei",,"high_medieval",,,
"great","leader_bavala","leader_pasgelo","leader_piaerlun","leader_namena","leader_vinellan","leader_pakakvadi","leader_sarkarli","leader_sofelon","leader_migial","leader_foarsulan",,"late_byzantine_mozaic",,,
"magic","leader_thashilu","leader_niunnul","leader_jolpodun","leader_janiggys","leader_olmomonoo","leader_venswa","leader_dunane","leader_fenryu","leader_vinellan",,,,,,
"sea",,,,,,,,,,,,,,,
