"ID","Custom Battle Retinues","Speech Font"
"barren","champion,shaman_snow",
"castle","engineer,clown",
"death","alchemist,shaman_fog",
"demon","transporter",
"desert","mage_fire,musician",
"doll","strategist,blacksmith",
"great","shaman_sun",
"highland","mage_air,chef",
"holy","priest,cleric",
"magic","wizard_fire,wizard_water",
"marsh","mage_water,entertainer",
"mountain","wizard_earth,administrator",
"port","medic",
"sea","spy",
"small","mage_earth,musician",
"wood","surgeon,scout",
"free",,
