"ID","Effect"
"castle_reserved_wood_supply",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"small_better_flower_ground",
,
,
,
"marsh_global_reinforce","reinforce:{(all;-1)}"
,
,
,
,
"small_rabbit_fur_oil","defence:{(small_rabbit_spear;1);(small_rabbit_sling;1);(small_rabbit_leader_banner;2)}"
"small_rabbit_cleaner","health:{(small_rabbit_snail_cav;20);(small_snail_sword;20);(small_snail_old;15)}"
"small_rabbit_foodpad","speed:{(small_rabbit_spear;1);(small_rabbit_sling;1);(small_rabbit_leader_banner;1);(small_rabbit_killer;1)}"
"small_global_call_count","capacity:{(faction_all;1)}"
,
"small_hound_bone","offence:{(small_rabbit_leader_hero;1);(small_rabbit_hound_cav;2);(summon_hound;2)}"
"small_rabbit_better_spear","offence:{(small_rabbit_spear;1);(small_rabbit_snail_cav;1);(small_rabbit_hole;2)}"
"small_rabbit_better_shield","defence:{(small_rabbit_snail_cav;2);(small_snail_sword;2);(small_rabbit_leader_knight;2)}"
"small_global_happpiness","happiness:5"
"small_eagle_nutrient","offence:{(small_eagle_air_stone;2)}"
"small_eagle_hooding","defence:{(small_eagle_air_stone;2)}"
,
,
"small_rabbit_oath",
"small_rabbit_capacity","capacity:{(faction_small;1)}"
