"ID","Culture","Cost","Upkeep","Strategy","Army Effect","Property"
"test","free",,,"test",,
"test2","free",,,"test2",,
"blacksmith","free",1000,,"strategy_minor_offensive","upkeep:0.75",
"squire","free",1500,,"strategy_minor_combat_aid",,
"mage_fire","free",1500,,"spell_fire_barrage",,
"mage_water","free",1500,,"spell_ice_orb",,
"mage_air","free",1500,,"spell_airburst",,
"mage_earth","free",1500,,"spell_stone_rain",,
"mage_magic","free",1500,,"spell_magic_bolts",,
"mage_poison","free",1500,,"spell_poison_ball",,
"wizard_fire","free",3500,,"spell_great_fireball",,
"wizard_water","free",3500,,"spell_ice_pillar",,
"wizard_air","free",3500,,"spell_airburst_huge",,
"wizard_earth","free",3500,,"spell_huge_stone",,
"wizard_poison","free",3500,,"spell_magic_bomb",,
"wizard_magic","free",3500,,"spell_poison_beam",,
"priest","free",1000,,"strategy_minor_prayer",,
"cleric","free",1000,,"strategy_minor_great_cure",,
"clown","free",2000,,"strategy_minor_false_advance",,
"musician","free",1000,,"strategy_minor_encourage",,
"chef","free",1000,,"spell_oil_ball","supply:0.75",
"engineer","free",1000,,"strategy_minor_defensive","speed:1.25",
"entertainer","free",1000,,"strategy_minor_encourage",,
"medic","free",1500,,"strategy_minor_combat_aid","heal:1.5",
"shaman_sun","free",2000,,"weather_sun",,
"shaman_rain","free",2000,,"weather_rain",,
"shaman_cloud","free",2000,,"weather_cloud",,
"shaman_snow","free",2000,,"weather_snow",,
"shaman_storm","free",2000,,"weather_storm",,
"shaman_fog","free",2000,,"weather_fog",,
"transporter","free",1000,,"strategy_minor_rally","speed:1.25",
"administrator","free",1000,,"strategy_minor_discipline","upkeep:0.75",
"scout","free",1000,,"strategy_minor_clarity","sight:2",
"alchemist","free",1000,,"strategy_minor_demoralise","heal:1.5",
"quartermaster","free",1000,,"strategy_minor_discipline","supply:0.75",
"surgeon","free",1000,,"strategy_minor_great_cure","survive:1.25",
"druid_fire","free",3000,,"spell_fire_domain",,
"druid_water","free",3000,,"spell_water_domain",,
"druid_air","free",3000,,"spell_air_domain",,
"druid_earth","free",3000,,"spell_earth_domain",,
"druid_magic","free",3000,,"spell_magic_domain",,
"druid_poison","free",3000,,"spell_poison_domain",,
"strategist","free",2000,,"strategy_minor_false_retreat",,
"spy","free",2000,,"strategy_minor_false_idle",,
"champion","free",2000,,"strategy_minor_demoralise",,
"captain","free",,,,,
"bishop","free",,,,,
