"ID","Activate Range","Range","Cooldown","Resource Cost","Offence","Power","Penetrate","Impact X","Impact Y","Critical Chance","Element","Effects","Damage Effects","Summon","Status","Enemy Status","Effect Enemy Status","AI Condition","Property"
"garrison_summon_death_undead_tower",500,,600,,,,,,,,,,,"death_undead_tower:1",,,,,
"garrison_summon_great_elf_heal_tent",500,,900,,,,,,,,,,,"great_elf_heal_tent:1",,,,,
"garrison_summon_great_elf_tower",500,,900,,,,,,,,,,,"great_elf_tower:1",,,,,
"garrison_summon_human_castle",500,,900,,,,,,,,,,,"castle_human_castle:1",,,,,
"garrison_summon_human_flower_castle",500,,900,,,,,,,,,,,"castle_human_flower_castle:1",,,,,
"garrison_summon_marsh_goblin_pyramid",500,,600,,,,,,,,,,,"marsh_goblin_pyramid:1",,,,,
"garrison_summon_mountain_dwarf_fortress",500,,1200,,,,,,,,,,,"mountain_dwarf_fortress:1",,,,,
"garrison_summon_port_halfling_tower",500,,1200,,,,,,,,,,,"port_halfling_tower:1",,,,,
"garrison_summon_rabbit_tower",500,,600,,,,,,,,,,,"small_rabbit_tower:1",,,,,
"spell_air_domain",,10000,10,15,,,,,,,"air",,,,,,,,
"spell_airburst",8000,600,10,20,60,90,400,200,100,0.1,"air",,"(air_burst_medium;base;0;500;0;0;1;1;1)",,,,"stun","air",
"spell_airburst_huge",8000,1200,20,30,60,110,800,200,100,0.1,"air",,"(air_burst_large;base;0;500;0;0;1;1;1)",,,,"stun","air",
"spell_blizzard",3000,8000,15,70,,,,,,,"water",,,,,,,,
"spell_cold_air",2000,6000,5,10,,,,,,,"water",,,,,,"cold",,
"spell_death_cloud",5000,3000,30,70,,,,,,,"poison",,,,,,,,
"spell_decay",,,10,30,,,,,,,"poison",,,,,,,,
"spell_earth_domain",,10000,10,15,,,,,,,"earth",,,,,,,,
"spell_earth_eruption",4000,500,15,35,,,,,,,"earth",,,,,,,,
"spell_earth_wall",3500,800,15,35,70,10,1000,800,1500,,"earth",,"(earth_wall;base;0;2000;360;0;1;1;1)",,,,,,"override_target:(ground;bottom),ignore_ground"
"spell_earthquake",0,100000,15,70,,,,,,,"earth",,,,,,,,
"spell_fire_barrage",6500,2000,15,30,40,35,180,40,60,,"fire",,"(fireball;base;850;-500;-160;0;1;1;1),(fireball;base;1000;-770;-160;0;1;1;1),(fireball;base;1200;-540;-160;0;1;1;1),(fireball;base;950;-600;-160;0;1;1;1),(fireball;base;1130;-660;-160;0;1;1;1)",,,,,,
"spell_fire_domain",,10000,10,15,,,,,,,"fire",,,,,,,,"override_target:(ground;bottom)"
"spell_firewall",3500,1000,15,50,30,5,200,,,,"fire",,"(fire_medium;base;250;2000;0;0;1;1;1),(fire_medium;base;-250;2000;0;0;1;1;1)",,,,,,
"spell_flash",6000,2000,10,10,,,,,,,,,"(light_burst_medium;base;0;500;0;0;1;1;1)",,"blind","blind",,,
"spell_great_fireball",7000,1500,10,30,,,,,,,"fire",,"(fireball_great;base;1000;-770;-160;0;1;1;1)",,,,"burn",,
"spell_huge_stone",4500,500,10,30,40,120,1000,1200,1000,,"earth",,"(stone_huge;speed;0;-500;360;0;1;1;1)",,,,"stun",,"direct"
"spell_hurricane",7000,1200,15,50,,,,,,,"air",,,,,,,,
"spell_ice_orb",7000,300,5,10,50,80,200,,-300,,"water",,"(ice_orb;base;0;-500;360;0;1;1;1)",,,,"cold,stun",,
"spell_ice_pillar",5000,600,10,30,60,15,500,400,600,,"water",,"(ice_pillar;base;0;3000;0;0;1;1;1)",,,,"cold,stagger",,"override_target:(ground;bottom),ignore_ground"
"spell_invisible",2000,500,15,50,,,,,,,,,,,"invisible",,,,
"spell_lightning_strike",6000,300,10,30,,,,,,,"air",,,,,,,,
"spell_magic_bolts",8000,1000,5,10,50,25,30,10,-30,,"magic",,"(magic_bolt;base;2270;-540;-140;0;1;1.2;1.2),(magic_bolt;base;2150;-640;-140;0;1;1.2;1.2),(magic_bolt;base;2030;-740;-140;0;1;1.2;1.2),(magic_bolt;base;2120;-680;-140;0;1;1.2;1.2),(magic_bolt;base;2400;-580;-140;0;1;1.2;1.2),(magic_bolt;base;2500;-440;-140;0;1;1.2;1.2),(magic_bolt;base;2380;-350;-140;0;1;1.2;1.2),(magic_bolt;base;2220;-390;-140;0;1;1.2;1.2),(magic_bolt;base;2150;-510;-140;0;1;1.2;1.2),(magic_bolt;base;2320;-520;-140;0;1;1.2;1.2)",,,,,,
"spell_magic_bomb",6000,700,5,10,40,60,80,200,100,,"magic",,"(magic_bomb;base;0;-500;360;0;1;1;1)",,,,,,
"spell_magic_domain",,10000,10,15,,,,,,,,,,,,,,,
"spell_mass_blind",5000,1000,15,15,,,,,,,,,,,,"blind",,,
"spell_mass_confuse",5000,1000,15,15,,,,,,,,,,,,"confuse",,,
"spell_mass_curse",5000,1000,15,15,,,,,,,,,,,,"curse",,,
"spell_mass_haste",4000,1000,15,30,,,,,,,,,,,"haste",,,,
"spell_mass_slow",4000,1000,15,30,,,,,,,,,,,,"slow",,,
"spell_mass_strength",5000,1000,15,10,,,,,,,,,,,"strengthen",,,,
"spell_mass_weakness",5000,1000,15,10,,,,,,,,,,,,"weakness",,,
"spell_meteor",6000,4000,30,70,90,1000,100000,3000,3000,,"fire",,"(meteor;base;5500;-6100;-140;0;1;1;1)",,,,,,
"spell_meteor_storm",6000,15000,90,120,80,800,50000,3000,3000,,"fire",,"(meteor;base;5500;-6100;-140;0;1;1;1),(meteor;base;7000;-9100;-140;0;1;1;1),(meteor;base;4500;-3100;-140;0;1;1;1),(meteor;base;1500;-8800;-140;0;1;1;1),(meteor;base;11000;-8500;-140;0;1;1;1)",,,,,,
"spell_nature_revenge",,,15,30,,,,,,,,,,,,,,,
"spell_oil_ball",7000,300,5,10,60,25,200,,-50,,"earth",,,,,,"oiled",,
"spell_poison_ball",7000,600,5,10,60,10,500,,,,"poison",,,,,,"poison",,
"spell_poison_beam",,,15,25,60,70,1000,,,,"poison",,,,,,"poison",,
"spell_poison_domain",,10000,10,15,,,,,,,,,,,,,,,
"spell_skeleton_horde",4500,1000,5,20,,,,,,,,,,"death_undead_skeleton_bone:20",,,,,
