"Chapter","Mission","Stage","Scene","Text"
1,,,,"Pamat Forest"
1,1,,,"Rabbitmen and Friends"
1,2,,,"Bandit Gang."
1,3,,,"Wild Protectors."
1,4,,,
1,5,,,"Bandit Army."
1,1,0,"artificer","Artificer guild undertakes in the alteration of god's given gifts. The very act itself is not forbidden if conducted in moderation and compliance with the law of the land. The heroes can purchase magical accessories and alter their equipment's property here, with a suitable amount of payment."
1,1,0,"barrack","The Royal Barrack in the Dawn Citadel. The Royal Army rest and train here. Due to the potential threat, a contingent of Flower Guard is always on standby here. This citadel is one of the first in the empire designed to defend against sieges from both land and sky."
1,1,0,"blacksmith","The royalty's commissioned blacksmith shop, Golden Forge. A place of great importance for the Masendor Kingdom for centuries since the Fifth King, Tules the Younger. The forge has been worked by a continuous long line of the legendary Smith family to the latest. The heroes can craft their equipment here for a discounted price."
1,1,0,"centre","The Capital's centre plaza has accommodated all manners of activity since the founding of the kingdom. Amphitheatre, market fair, ceremonial parade, and public announcement are some of such purposes. Travellers from distant lands also tend to gather here from time to time."
1,1,0,"cathedral","The Cathedral of Saint Maaeir, named after the Canonical Third Great Saint Maaeir the Fortunas, represents the symbol of True Faith in the furthest west domain of influence established by the first Saint Mother. The heroes can receive a blessing from the saint here to boost their luck in the battle to come."
1,1,0,"council","The royal council chamber. A place where the kingdom's brightest minds gather to better the lives of all followers of the crown. A principal council is generally convened once a month in peacetime, while a lessor is held every day, usually among the high members of the court."
1,1,0,"garden","The famed Black Garden of Lasennis, second only to the Dawn Garden in the empire capital, Reskon. The Black Garden is full of the Masendor or Black Masen flowers, a rare hybrid found only in the Fimella region. Legend said that the flowers were dyed black by the blood of the great dragon, Lamorkul, that fell from the sky during the Battle of Arkian Sky."
1,1,0,"hall","The famed Black Castle. Home of dynasties of kings and queens for four centuries. Newly renovated after its partial destruction thirty years ago by the great dragon Xelanos's attack. People of high birth typically stalk this hall, exchanging court gossip and politic."
1,1,0,"herbalist","The smith of organic matter is a profession of high standing. Here is one of the few workshops in the capital. The hero can purchase beneficial potions for use in battle. A victory is most ensured for those who prepare."
1,1,0,"library","All civilisations, like people, grow from knowledge. To know is to ascend. Here, the heroes can learn and understand the inner workings of this world."
1,1,0,"market","The open market of Larsennis. Merchants, local and foreign, inhabit this most populous part of the capital. The heroes can purchase consumable goods and items for use in combat. Some items can even alter the battle entirely."
