"ID","Name","Strengths","Weaknesses","Description"
"none","Empty",,,
"random","Random Faction",,,
"all","All Factions",,,
"barren","War Tribes","Unmatched in overall strength.","Heavily relies on pure brute force of their infantry in most cases.",
"castle","Central Kingdoms","Excellent late heavy infantry and cavalry.","Mediocre early units.","The feudal societies of the Central Kingdoms are among the most adaptive. They tolerate change to a certain degree and can coexist with most other cultures with minimal issues. The core structure of this culture is as follows: humans (and similar humanoid people) are the authorities of the civilised world, the housekins are the loyal work force of the community, and any other foreigners possess freedom of trade within its domain."
"death","Homeward Hordes","Highly resistant. Immune to mind status effects.","Somewhat static capability.",
"demon","New World Settlers","Impressive selection of settler heroes.","No native troops or leaders of its own.",
"desert","Oasis Commonwealth","Highly capable light units.","Relies on magical powers to compete in late period.",
"doll","Doll Family","Specialised melee units for multi-purposes.","Individually weak and lack long-ranged unit.","The Doll Family is made up of ancient artificial beings long forgotten; they exist even longer than the north-western undead. Scholars hypothesise that these dolls are golem servants created by a long-lost civilisation. Hostile to all living beings, these dolls refuse most integration with other cultures.  "
"highland","Highland Clans","Superb shock units for all periods.","Has no air units. Most units focus on offence rather than defence.",
"marsh","Cactus Realms","Each unit has versatile abilities.","Limited raw strength.",
"mountain","Underworld Legacies","Extremely strong and durable infantry.","Very specialised units. Low flexibility.",
"port","Maritime Republics","Exceedingly technologically advanced units.","Most units are relatively weak in melee combat strength",
"small","Small People","Numerous and versatile. Capable early units.","Lacks outstanding specialised units.","The Small People are, as the name implies, a society made up mostly of creatures of small stature within the verts around the central continent. They are friendly to all small and vert beings. Many believe them to be savage, capable of only low-level civilisation at best. The wise, however, never underestimate what they are capable of."
"wood","Vertkin Communes",,,
"dark","Dark Dungeons",,,
"great","United Empire",,,
"holy","Holy Theocracy",,,
"sea","Free Seadogs",,,
"magic","Isle Academy",,,
"free","Neutral",,,"Those with a free spirit do not belong to a rooted society of their birthplace. They will travel the world and perhaps join any faction they visit."
