"ID","Name","Strengths","Weaknesses","Description"
"none","Empty",,,
"random","Random Faction",,,
"all","All Factions",,,
"barren",,"Unmatched in overall strength.","Heavily relies on pure brute force of their infantry in most cases.",
"masendor","Kingdom of Masendor","Excellent late heavy infantry and cavalry.","Mediocre early units.","Play as the reclaiming Realm of Masendor of the Central Kingdoms. The previous chaos brought much destruction to the realm. Still fractured in half, you will need to take care of the rebels to unite the kingdom. With feudalism as the cultural backbone, the kingdom can set up to be efficient in both offence and defence. Conquer the Central Realms and beyond to become the cornerstone of the civilised world or perish against the barbarian hordes."
"death",,"Highly resistant. Immune to mind status effects.","Somewhat static capability.","Play as the reawakening Land of the Death."
"demontide",,"Impressive selection of settler heroes.","No native troops or leaders of its own.",
"desert",,"Highly capable light units.","Relies on magical powers to compete in late period.",
"dollkingdom","Doll Kingdom","Specialised melee units for multi-purposes.","Statistically weak and lack long-ranged unit.","Play as the infuriating Doll Kingdom. Forsaken and betrayed, the automata dolls rise up to exact revenge upon all the living. With the efficient industry design backing up the ceaseless production, world domination can be accomplished even for these once peaceful dolls. Will they become merciful masters for the inferior flesh beings or lead the world to destruction?"
"highland",,"Superb shock units for all periods.","Has no air units. Most units focus on offence rather than defence.","Play as the expanding"
"marsh",,"Each unit has versatile abilities.","Limited raw strength.","Play as the fractured Majala Empire."
"mountain",,"Extremely strong and durable infantry.","Very specialised units. Low flexibility.","Play as the unifying"
"port",,"Exceedingly technologically advanced units.","Most units are relatively weak in melee combat strength",
"weealliance","Wee Alliance","Numerous and versatile. Capable early units.","Lacks outstanding specialised units.","Play as the emerging Wee Alliance of the Pamat Forest, formed of rabbitmen, snails, and eagles. These critters of the once peaceful forest know little of true warfare and technology, but they will do their best to eradicate any unrightful invader. They will have to pick a choice. To maintain the simple happiness of life or steer toward the efficiency of civilisation to conquer the world for themselves."
"wood",,,,
,,,,
,,,,
"great",,,,
"holy",,,,
"sea",,,,
"magic",,,,
"free","Rebels",,,
