"ID","Text",,
"test_cutscene1.1","This is test cutscene text.",,
"test_cutscene1.2","Continue text. I mean bark bark.",,
"test_cutscene1.3","I can talk too.",,
"test_cutscene1.4","Same.",,
"test_cutscene1.5","Me three.",,
"Nayedien/Any/1_1_city_peace_talk1.1","Welcome to the Garden of Peace.",,
"Nayedien/Any/1_1_city_peace_talk1.2","A place where time can pass and one mind can wonder.",,
"Nayedien/Any/1_1_city_peace_talk1.3","Think as you wish to think.",,
"Nayedien/Any/1_1_city_peace_talk1.4","Feel free to stay as long as you desire.",,
"Nayedien/Any/1_1_city_peace_talk1.5","And leave at the time you prefer.",,
"Nayedien/Any/1_1_city_peace_talk1.6","It is good of you to visit us this day.",,
"Nayedien/Any/1_1_city_peace_talk1.7","I am hopeful we will talk again at another time or perhaps another place.",,
"Nayedien/Any/1_2_city_peace_talk1.1","Ah, welcome to the Forest of Serenity. Lovely place is it not?",,
"Nayedien/Any/1_2_city_peace_talk1.2","For those who know not the context of our meeting.",,
"Nayedien/Any/1_2_city_peace_talk1.3","This very scene will be part of the game called Royal Ordains.",,
"Nayedien/Any/1_2_city_peace_talk1.4","A battle will take place between heroes and villains, as the gods will it.",,
"Nayedien/Any/1_2_city_peace_talk1.5","For now, please enjoy and think further nought of what I said.",,
"Nayedien/Any/1_2_city_peace_talk1.6","Only peace prevails in this day and time.",,
"Nayedien/Any/1_2_city_peace_talk1.7","I am hopeful we will talk again at another time or perhaps another place.",,
"Nayedien/Any/1_2_city_peace_talk1.8","Hmm, as much as I also like it here we have work to do still.",,
"Nayedien/Any/1_2_city_peace_talk1.9","I look forward to seeing you in the game.",,
"time_pass","A time has pass.",,
"start/1_1_city_throne","And so begins the story of Royal Ordains.",,
"event/1_1_city_throne_talk1.1","We welcome you, brave heroes.",,
"event/1_1_city_throne_talk1.2","We are grateful for accepting our invitation.",,
"event/1_1_city_throne_talk1.3","Our kingdom is in crisis, our soldiers exhausted.",,
"event/1_1_city_throne_talk1.4","With your help, our land will persist and prosper.",,
"event/1_1_city_throne_talk1.5","We sanction you as Royal Ordains.",,
"event/1_1_city_throne_talk1.6","You are our esteemed guests from the moment forth.",,
"event/1_1_city_throne_talk1.7","And your valour will be heralded by all for aeon.",,
"event/1_1_city_throne_talk1.8","Your journey will be precarious and for that -",,
"event/1_1_city_throne_talk1.9","We prepare for you with supplies and funding.",,
"event/1_1_city_throne_talk1.10","The Commander will handle your journeys and quests.",,
"event/1_1_city_throne_talk1.11","May you find success and bring peace to all.",,
"King/Vraesier/1_1_city_throne_talk1.1","Greetings, we did not expect you to come.",,
"King/Vraesier/1_1_city_throne_talk1.2","I hope you remember your promise.",,
"King/Vraesier/1_1_city_throne_talk1.3","Yes. We will keep our end of the bargain.",,
