"ID","Name","Description","Tag"
"1","Fearless","Being fearless is a beneficial trait in a place of life and death in battle. Although fear allows a person to survive longer to fight another day, being fearless is more of a double-edged sword.","Debuff"
"2","Fear","There should be no fear in the machine of war. Fear makes even obedient soldiers refuse to follow the command after all.","Debuff"
"3","Hope","Optimism to survive and see the better days is good. A soldier always fights harder when there is hope.","Debuff"
"4","Stampede",,"Debuff"
"5","Disrupt","Disruption must be quelled before chaos breaks out.","Debuff"
"6","Hidden","Unseen by enemies. Ambush them at the right time, and you may win this battle effortlessly.","Debuff"
"7","Blind","Blindness is pretty much the equivalent of certain death in battle. Unable to both attack and defend, such disability must be treated as soon as possible.","Debuff"
"8",,,"Debuff"
"9","Sleep","While sleeping is good for the body, sleeping at the wrong time and place is not a wise thing to do.","Debuff"
"10","Panic","""Forward! I said forward you fool! Listen to my command!""","Debuff"
"11","Berserk","Desolation, destruction, elimination and eradication! Stop at nothing until your enemy is no more.","Debuff"
"12","Confuse","""Where is the enemy? What is going on? Why is everyone around me doing nothing?""","Debuff"
"13","Run Amok","Cavalry unit has one downside is that their mount can run amok from anything that spooks them, Be it fire or very loud noise or even stress. This makes their mount uncontrollable and will attack anyone in their path.","Debuff"
"14","Unconscious","Being unconscious in battle is often a death sentence, especially in melee combat.","Debuff"
"15","Oiled","Oiled up and ready to be cooked. This unit will catch fire much faster.","Debuff"
"16","Plague","Anyone with a plague is dangerous to everyone around him, especially when so many people are staying so close in tight formation.","Debuff"
"17","Stun","Vision blur, hearing deafen, regain oneself or be perished.","Debuff"
"18","Poison","A dangerous substance that causes damage over time. Endure and hope for the best or seek aid.","Debuff"
"19","Deadly Poison","A deadly poison that cannot be cured. Very few can survive this painful experience, and even fewer can live a long life after.","Debuff"
"20","Burn","Dead by burning is not a good way to go. Try to drench yourselves as soon as possible.","Debuff"
"21","Freeze","Frozen in place and time. Nothing to be done but wait.","Debuff"
"22","Shock",,"Debuff"
"23","Wet","Being wet can either be good or bad. Fire and burning become much less effective, but the damage and effect of air and water become a dangerous threat.","Debuff"
"24","Whistle Arrow",,"Debuff"
"25","Drunk","Getting drunk in battle may not be the smartest thing to do, but It sure helps raise the morale and fierceness of the unit.","Debuff"
"26","Cripple","Cripple in body, but can the heart hold out? Only time will tell.","Debuff"
"27","Slow","Slowing to a crawl. Best be steady, or you may lose both race and war.","Debuff"
"28","Knock Down","No matter how many times you get knocked down, only by getting up is when you can fight again.","Debuff"
"29","Disarmed","Losing a weapon is a shame that any warrior worth their salt should reconsider their life. But now is a good time to run.","Debuff"
"30","Cure",,"Debuff"
"31","Bleeding","A bleeding wound is often not much emergency issue in the face of life and death in battle. Such a wound still takes its toll in long term, though.","Debuff"
"32","Smoke","Smoke reduces the sight of this unit, making them less effective in combat, but improves range defence.","Debuff"
"33","Suppressed","This unit is being suppressed by range attacks making them almost unable to move. But it also improves their range defence.","Debuff"
"34","Unleash Companion",,"Debuff"
"35","Provoke","Exploited by the sin of wrath. The enemy must be vanquished!","Debuff"
"36","All Round Defence","The perfect form of fighting with no weakness. This will surely be worth the tale of heroism.","Debuff"
"37","Severe Burning","The burning wounds become so severe now that simply drenching the fire may not save the person any more. This also causes panic among the troop trying to flee from such fire.","Debuff"
"38","Drench","Wet from head to toes, almost as if swimming in the water. Avoid cold temperature or air element damage at all costs.","Debuff"
"39","Electrocution",,"Debuff"
"40","Cold","Cold and shivering. Not a good sign for winter warfare. Find some place warm or light up the fire.","Debuff"
"41","Hot","Hot, is it not? Be careful of heatstroke.","Debuff"
"42","Heatstroke",,"Debuff"
"43","Decimated","Decimation can increase the morale of the unit for a short while so they can fight longer before they realise that surrender may be an option after all. ","Debuff"
"44","Enraged","Anger clouded rational judgment. Exploit this momentary weakness or suffer the punishment. ","Debuff"
"45","Dishonourable Displayed",,"Debuff"
"46","Sink",,"Debuff"
"47","Drown","Drowning is not the most comfortable way to go.","Debuff"
"48","Quicksand Sink","Worse than any other kind of death when you can see an escape in sight but cannot grasp it.","Debuff"
"49","Swimming",,"Debuff"
"50","Collapse","Collapsing may allow one to recover strength. If they can wake up again, that is.","Debuff"
"51","Muddy Leg",,"Debuff"
"52","Wet Gunpowder",,"Debuff"
