"ID","Name","Description"
"Great Mini Shield","Great Mini Shield","A magical mini-sized shield that Bigta the Dog Servant stole from the treasury in Nalina Fortress. Once wielded by King Rostiaes as a young prince in the Battle of Batuk Plain against the Lesses City State. Extremely tough but, due to its small size, does not have much use for adult-size humans."
"Stealth Mantle","Stealth Mantle",
"Green Druid Staff","Green Druid Staff",
"Standard Main Weapon","Standard Main Weapon",
"Standard Sub Weapon","Standard Sub Weapon",
"Standard Headgear","Standard Headgear",
"Standard Armour","Standard Armour",
"Standard Glove","Standard Glove",
"Standard Pants","Standard Pants",
"Standard Accessory","Standard Accessory",
"Quality Main Weapon","Quality Main Weapon",
"Quality Sub Weapon","Quality Sub Weapon",
"Quality Headgear","Quality Headgear",
"Quality Armour","Quality Armour",
"Quality Glove","Quality Glove",
"Quality Pants","Quality Pants",
"Quality Accessory","Quality Accessory",
"Enchanted Main Weapon","Enchanted Main Weapon",
"Enchanted Sub Weapon","Enchanted Sub Weapon",
"Enchanted Headgear","Enchanted Headgear",
"Enchanted Armour","Enchanted Armour",
"Enchanted Glove","Enchanted Glove",
"Enchanted Pants","Enchanted Pants",
"Enchanted Accessory","Enchanted Accessory",
