"Move","Name","Prepare Animation","After Animation","AI Condition","AI Range","Range","Cooldown","Resource Cost","Power","Penetrate","Impact X","Impact Y","Critical Chance Bonus","Element","Status","Enemy Status","Effect Enemy Status","Property"
"Attack1","Spear Piercing",,"name:weak1End",,200,,,,15,,45,,,"air",,,,
"Attack2","Flail Arc",,"name:weak2End",,200,,,,18,,10,50,,"fire",,,,
"Attack3","Sword Slash",,"name:weak3End",,200,,,,23,,20,15,,"water",,,,
"Attack4","Spear Crush",,,,,,,,,,,,,,,,,
"Attack5",,,,,,,,,,,,,,,,,,
"weak2strong","Flame Flail Crush",,"name:weak2End",,250,,,5,32,,,80,,"fire",,15,,
"weak3strong","Frost Sword Slice",,"name:weak3End",,250,,,5,37,,,,,"water",,,,
"weak1strongstrong","Down Wind",,"name:weak1End",,250,,,10,27,,,100,,"air",,,,
"Skill3","Fire Splitter",,"name:weak2End",,250,,,10,35,,150,,0.05,"fire",,,,
"weak3strongstrong","Ice Slash",,"name:weak3End",,250,,,10,42,,30,20,0.1,"water",,,,
"Skill1","Guiding Wind",,"name:weak1End",,250,,,22,14,,45,,,"air",,,,
"Skill2","Ember Storm",,"name:weak2End",,250,,,22,9,,60,,,"fire",,39,,
"weak3strongspecial","Ice Spear",,"name:weak3End",,300,,,22,50,,50,,,"water",,,,
