"Move","Name","Prepare Animation","After Animation","AI Condition","AI Range","Range","Cooldown","Resource Cost","Power","Penetrate","Impact X","Impact Y","Critical Chance Bonus","Element","Status","Enemy Status","Effect Enemy Status","Property"
"fspecial","Hot Hammer",,,,200,,,8,20,120,,,0.1,"fire",,43,,
"fspecial2","Cold Axe",,,,250,,,15,25,100,,,0.1,"cold",,42,,
"weak1","Hammer Jab",,,,150,,,,9,50,,15,,"physical",,,,
"weak2","Axe Slash Down",,,,200,,,,12,15,,25,,"physical",,,,
"weak3","Hammer Rise",,,,150,,,,10,30,,50,,"physical",,,,
"weak4","Axe Slice",,,,200,,,,16,10,,20,,"physical",,,,
"weak1strong","Hammer Axe Slash Up",,,,200,,,,10,,,100,,"physical",,,,
"weak2strong","Hammer Axe Jab",,,,200,,,,8,100,,,,"physical",,,,
"weak3strong","Hammer Axe Duo",,,,150,,,,13,150,,50,,"physical",,,,
"weak4strong","Hammer Axe Trio",,,,200,,,,10,200,,70,,"physical",,,,
"strong1","Hammer Up Axe Down",,,,200,,,,10,20,,30,,"physical",,,,
"strong2","Hammer Axe Slash Out",,,,200,,,,11,50,,,,"physical",,,,
"strong3","Hammer Axe Up",,,,200,,,,14,60,,10,,"physical",,,,
"strong4","Hammer Axe Down",,,,200,,,,12,10,,60,,"physical",,,,
"gbspecial","Cool Heart",,,"self:{no_status=76}",400,,,35,,,,,,"water",76,,,
"dbspecial","Fiery Heart",,,"self:{no_status=66}",600,,,35,,,,,,"fire",66,,,
"fdbspecial","Excess Power",,,,460,,,48,52,150,,100,,"fire",,20,,
"bdfspecial","Cold Wave",,,,580,,,42,42,40,,30,,"water",,23,,
