"ID","Faction","One Time Event","Condition","Event Scene","Event Actor","Effect","Duration"
"all_story_1","all",,"turn:1",,,,
"all_story_2","all",,"turn:50",,,,
"all_story_3","all",,"turn:100",,,,
"all_story_4","all",,"turn:150",,,,
"all_story_5","all",,"turn:200",,,,
"all_story_6","all",,"turn:250",,,,
"all_story_7","all",,"turn:300",,,,
"all_story_8","all",,"turn:350",,,,
"all_story_9","all",,"turn:400",,,,
"all_story_10","all",,"turn:450",,,,
"all_story_11","all",,"turn:500",,,,
"all_story_12","all",,"turn:550",,,,
"all_story_13","all",,"turn:600",,,,
"all_story_14","all",,"turn:650",,,,
"all_story_15","all",,"turn:700",,,,
"all_story_16","all",,"turn:750",,,,
"all_story_17","all",,"turn:800",,,,
"all_story_18","all",,"turn:850",,,,
"all_story_19","all",,"turn:900",,,,
"all_story_20","all",,"turn:950",,,,
"all_story_21","all",,"turn:1000",,,,
"masendor_story_1","masendor","TRUE","turn:3",,,,
"masendor_story_2","masendor","TRUE",,,,,
"masendor_story_3","masendor","TRUE",,,,,
"masendor_story_4","masendor","TRUE",,,,,
"masendor_story_5","masendor","TRUE",,,,,
"masendor_story_6","masendor","TRUE",,,,,
"masendor_story_7","masendor","TRUE",,,,,
"masendor_story_8","masendor","TRUE",,,,,
"dollkingdom_story_1","dollkingdom","TRUE","turn:2",,,,
"dollkingdom_story_2","dollkingdom","TRUE","turn:7",,,,
"dollkingdom_story_3","dollkingdom","TRUE",,,,,
"dollkingdom_story_4","dollkingdom","TRUE",,,,,
"dollkingdom_story_5","dollkingdom","TRUE",,,,,
"dollkingdom_story_6","dollkingdom","TRUE",,,,,
"dollkingdom_story_7","dollkingdom","TRUE",,,,,
"dollkingdom_story_8","dollkingdom","TRUE",,,,,
"weealliance_story_1","weealliance","TRUE","turn:4",,,,
"weealliance_story_2","weealliance","TRUE","turn:16",,,,
"weealliance_story_3","weealliance","TRUE","turn:29",,,,
"weealliance_story_4","weealliance","TRUE","turn:43",,,,
"weealliance_story_5","weealliance","TRUE","turn:55",,,,
"weealliance_story_6","weealliance","TRUE","turn:58",,,,
"weealliance_story_7","weealliance","TRUE","turn:64",,,,
"weealliance_story_8","weealliance","TRUE","turn:85",,,,
"weealliance_story_9","weealliance","TRUE","turn:112",,,,
"weealliance_story_10","weealliance","TRUE","turn:144",,,,
"weealliance_story_11","weealliance","TRUE","turn:176",,,,
"weealliance_story_12","weealliance","TRUE","turn:200",,,,
"leader_join_monnirl","any","TRUE","building_build:{castle_faith_2_cathedral=1},culture:{castle=0.2}",,,"leader_unlock:leader_monnirl",
"leader_join_champion","any","TRUE","region_number:1,gold<:100,culture>:{castle=0.02}",,,"leader_unlock:leader_champion",
"leader_join_aquanturas","any","TRUE","control_region:(castle_rendon_suclin),culture>:{castle=0.2}",,,"leader_unlock:leader_aquanturas",
"leader_join_vurus","any","TRUE","region_number:14,control_region:(castle_masendor),culture>:{castle=0.5}",,,"leader_unlock:leader_vurus",
"leader_join_quivenly","any","TRUE","building_build:{castle_tech_c1_library=2},culture>:{castle=0.1}",,,"leader_unlock:leader_quivenly",
"leader_join_nayedien","masendor","TRUE","turn:100",,,"leader_unlock:leader_nayedien",
"leader_join_savalorse","any","TRUE","building_build:{castle_settlement_5_flower_castle=1},culture>:{castle=0.3}",,,"leader_unlock:leader_savalorse",
"leader_join_iri","any","TRUE","region_number:8,culture>:{small=0.15}",,,"leader_unlock:leader_iri",
"leader_join_adaqua","any","TRUE","control_region:(rabbit_forest4)",,,"leader_unlock:leader_adaqua",
"leader_join_buikuuh","any","TRUE","region_number:6,leader_unlock:leader_vasla,building_build:{small_tech_a1_fur_hardener=1}",,,"leader_unlock:leader_buikuuh",
