"Route","Type","Dots"
"test1,test2","sea","(1786;575),(1775;590),(1764;604),(1753;620),(1742;633),(1735;650),(1732;665)"
"test1,test3","sea","(1810;557),(1827;554),(1843;558),(1856;566),(1870;575),(1887;580),(1904;582),(1920;582),(1937;582),(1955;580)"
"test2,test3","land","(1742;680),(1757;675),(1775;670),(1793;666),(1810;665),(1830;660),(1848;653),(1863;647),(1875;641),(1888;632),(1905;623),(1920;615),(1933;609),(1948;601),(1961;592)"
"test2,test5","land","(1721;697),(1709;708),(1697;717),(1688;724),(1678;731),(1667;740),(1657;750),(1646;761)"
"test2,test8","land","(1738;701),(1745;720),(1758;726),(1768;739),(1770;756),(1777;776),(1773;796),(1769;809),(1765;821)"
"test2,test10","land","(1750;692),(1766;702),(1784;713),(1798;721),(1810;730),(1823;737),(1838;749),(1850;757),(1868;769),(1885;779),(1902;785),(1916;799),(1927;813),(1930;828)"
"test3,test4","forest","(1977;593),(1980;605),(1985;617),(1989;632),(1994;646),(2008;663),(2025;670),(2046;673),(2065;674),(2088;673),(2110;673)"
"test5,test6","forest","(1621;794),(1612;809),(1604;827),(1596;848),(1589;865),(1582;883),(1577;900),(1574;916),(1571;931),(1570;945)"
"test5,test7","land","(1638;789),(1644;805),(1650;819),(1656;835),(1661;852),(1665;869),(1668;885)"
"test5,test8","land","(1654;782),(1671;789),(1690;796),(1705;803),(1721;811),(1736;821),(1749;829)"
"test6,test7","land","(1582;955),(1593;950),(1606;943),(1618;934),(1629;926),(1640;916),(1654;905)"
"test6,test9","hill","(1586;966),(1605;966),(1621;966),(1639;965),(1654;962),(1669;959),(1682;956),(1693;954),(1707;950),(1722;952)"
"test7,test8","hill","(1688;893),(1701;884),(1714;876),(1728;866),(1744;857),(1754;847)"
"test7,test9","hill","(1682;911),(1693;919),(1703;924),(1715;932),(1726;937)"
"test8,test9","land","(1763;854),(1762;870),(1761;886),(1758;905),(1753;918),(1749;930)"
"test8,test10","mountain","(1780;835),(1805;838),(1823;845),(1838;850),(1854;849),(1878;848),(1895;847),(1911;846)"
"test9,test11","mountain","(1764;946),(1781;953),(1799;961),(1818;970),(1830;979),(1842;986)"
"test10,test11","forest","(1927;862),(1920;876),(1911;890),(1902;903),(1894;920),(1884;936),(1876;950),(1868;962),(1862;975)"
"test10,test12","hill","(1946;854),(1959;862),(1971;870),(1987;877),(2003;888),(2021;900),(2040;910),(2056;917),(2070;924)"
"test11,test12","mountain","(1878;988),(1895;984),(1912;983),(1930;983),(1947;982),(1968;977),(1986;971),(2003;967),(2018;962),(2035;957),(2054;949),(2070;942)"
"test3,test13","forest","(1991;572),(2003;567),(2014;562),(2025;558),(2043;553),(2054;550),(2071;551),(2086;551),(2098;552),(2110;555)"
"test13,test14","forest","(2139;558),(2151;561),(2161;564),(2169;572),(2175;579),(2183;586),(2193;593),(2203;596),(2216;599),(2227;602),(2242;604),(2253;605)"
"test4,test14","forest","(2147;666),(2157;659),(2168;651),(2177;643),(2187;639),(2196;636),(2207;633),(2219;629),(2235;625),(2250;619)"
