"UI name","Font"
"main_button","ubuntumono-r"
"main_button_bold","ubuntumono-b"
"main_button_italic","ubuntumono-ri"
"main_button_bold_italic","ubuntumono-bi"
"name_font","colchester"
"text_paragraph","arial"
"text_paragraph_bold","arialbd"
"text_paragraph_italic","ariali"
"text_paragraph_bold_italic","arialbi"
"manuscript_font","manuskript-gothisch.regular"
"manuscript_font2","gothicregular"
"manuscript_font2old","gothicaged"
"simple_talk_font","ubuntumono-r"
,
"talk_font","gothicregular"
"culture_small","pfeffer-mediaeval"
"culture_doll","arial"
"culture_castle","manuskript-gothisch.regular"
"culture_barren",
"culture_death","geek"
"culture_demon",
"culture_desert","ceria-lebaran"
"culture_great",
"culture_highland",
"culture_holy",
"culture_magic",
"culture_marsh",
"culture_mountain",
"culture_port",
"culture_sea",
"culture_wood",
"culture_holy",
"culture_free","carolingia"
