"ID","Text ID","Object","Animation","Type","Trigger","Property"
"music/scene1",,1,,"music","camera_reach_scene,1",
"boss_reach",,"p1","PresetCombatStandWalk","cutscene","camera_reach_scene,4","POS:scene_start,angle:target"
,,"p2","PresetCombatStandWalk",,,"POS:scene_start,angle:target"
,,"p3","PresetCombatStandWalk",,,"POS:scene_start,angle:target"
,,"p4","PresetCombatStandWalk",,,"POS:scene_start,angle:target"
,,"helper","PresetPeaceAirWalk",,,"POS:reach_center,angle:target"
,,21,,"setup",,"POS:(7480;1000),angle:90,speed:2000"
,,"camera",,"move",,"POS:4,wait"
,,21,"Taunt",,,"angle:90,wait"
"submit",,21,"Submit","submit","submit","repeat after,submit"
"execute",,21,"PresetCombatStandDie","execute","execute","start_frame:-1,hold"
,,"helper","PresetPeaceAirWalk",,,"target:21,angle:target,wait"
,,"helper","Execute",,,
,,21,"Execute",,,"die"
,,"helper","PresetPeaceAirWalk",,,"POS:scene_center,angle:target"
