"Buttons","Move","Name","Requirement Move","Prepare Animation","After Animation","AI range","AI Delay","AI Condition","Range","Resource Cost","Power","Push Impact","Pull Impact","Down Impact","Critical Chance Bonus","Element","Status","Enemy Status","Special Effect","Property"
"Forward,Special","fspecial","Hot Hammer",,,,200,,,,8,20,120,,,0.1,"Fire",,43,,
"Special","fspecial2","Cold Axe","fspecial",,,250,,,,15,25,100,,,0.1,"Cold",,42,,
"Weak","weak1","Hammer Jab",,,,150,,,,,9,50,,15,,"Physical",,,,
"Weak","weak2","Axe Slash Down","weak1",,,200,,,,,12,15,,25,,"Physical",,,,
"Weak","weak3","Hammer Rise","weak2",,,150,,,,,10,30,,50,,"Physical",,,,
"Strong","weak4","Axe Slice","weak3",,,200,,,,,16,10,,20,,"Physical",,,,
"Strong","weak1strong","Hammer Axe Slash Up","weak1",,,200,,,,,10,,,100,,"Physical",,,,
"Strong","weak2strong","Hammer Axe Jab","weak2",,,200,,,,,8,100,,,,"Physical",,,,
"Strong","weak3strong","Hammer Axe Duo","weak3",,,150,,,,,13,150,,50,,"Physical",,,,
"Strong","weak4strong","Hammer Axe Trio","weak4",,,200,,,,,10,200,,70,,"Physical",,,,
"Strong","strong1","Hammer Up Axe Down",,,,200,,,,,10,20,,30,,"Physical",,,,
"Strong","strong2","Hammer Axe Slash Out","strong1",,,200,,,,,11,50,,,,"Physical",,,,
"Strong","strong3","Hammer Axe Up","strong2",,,200,,,,,14,60,,10,,"Physical",,,,
"Strong","strong4","Hammer Axe Down","strong3",,,200,,,,,12,10,,60,,"Physical",,,,
"Guard,Backward,Special","gbspecial","Cool Heart",,,,400,5,"self:{no_status=76}",,35,,,,,,"Water",76,,,
"Down,Backward,Special","dbspecial","Fiery Heart",,,,600,5,"self:{no_status=66}",,35,,,,,,"Fire",66,,,
"Forward,Down,Backward,Special","fdbspecial","Excess Power",,,,460,,,,48,52,150,,100,,"Fire",,20,,
"Backward,Down,Forward,Special","bdfspecial","Cold Wave",,,,580,,,,42,42,40,,30,,"Water",,23,,
