"ID","Name","Offence Modifier","Defence Modifier","Speed Modifier","Air Offence Modifier","Air Defence Modifier","Air Speed Modifier","Health Regeneration Bonus","Resource Regeneration Bonus","Element","Status","Spawn Cooldown","Travel Speed","Wind Strength","Spell","Ambient","Property","Tag"
1,"Clear Sky",,,,,,,,,,,,,1,,,,"Clear"
2,"Snow",,,,-0.05,,-0.02,,,,"Cold","Snow:0.3",60,2,,,,"Snow"
3,"Foggy",-0.1,-0.03,,-0.12,-0.05,-0.05,,,,,,100,2,,,,"Fog"
4,"Rain",,,-0.05,,,-0.1,,,"Water","Wet","Rain:0.03",400,3,,"rain",,"Rain"
5,"Cloudy",,,,-0.18,,-0.1,,,,,,,1,,,,"Obstruct"
6,"Thunder Storm",-0.1,-0.05,-0.15,-0.23,-0.05,-0.2,,,"Water","Drench","Rain:0.04",400,5,,"storm",,"Rain"
7,"Hail",-0.2,-0.1,-0.3,-0.2,-0.1,-0.3,,,"Water",,0.3,500,1,,"hail",,"Rain"
8,"Windy",-0.1,,,-0.15,-0.05,-0.15,,,,,0.4,,7,,"windy",,"Obstruct"
9,"Wet Fog",,-0.05,-0.04,-0.12,-0.1,-0.1,,,"Water","Wet",,100,1,,,,"Fog"
10,"Acid Rain",-0.15,-0.15,-0.1,-0.15,-0.15,-0.15,,,"Water",,"Acid Rain:0.04",400,3,,"rain",,"Rain"
11,"Sandstorm",-0.2,-0.05,-0.25,-0.25,-0.15,-0.25,,,,,,,5,,"windy",,"Fog"
12,"Blood Rain",,,-0.13,,,-0.15,,,"Water","Wet","Blood Rain:0.1",400,3,,"rain",,"Rain"
13,"Thundersnow",-0.1,-0.05,,-0.1,,-0.02,,,,,"Snow:0.3",60,4,,,,"Snow"
14,"Blood Snow",,,,-0.15,,-0.02,,,,,"Blood Snow:0.3",60,2,,,,"Snow"
15,"Dark Snow",,,,-0.1,,-0.05,,,,,"Dark Snow:0.3",60,2,,,,"Snow"
"Red Leaf","Red Leaf",,,,,,,,,,,"Red Leaf:1.5",40,1,,,"random_sprite_angle",
